mca_1,mca_2,dataset_short_name,session_id,subject_id,behavioral_context,recording_profile_group,recommended_analysis_type,duplicate_profile_count,mca_1_plot,mca_2_plot,categorical_cluster
-2.7552001450312904,-4.98770509398137,openfield_ca1,24101_2018-03-22,24101,open field / navigation,spike_lfp,spike/unit analysis,21,-2.730822778650936,-5.042179457533686,3
-2.7552001450313495,-4.987705093981385,openfield_ca1,24101_2018-03-24,24101,open field / navigation,spike_lfp,spike/unit analysis,21,-2.838398873530589,-4.889901786887463,3
-2.755200145031297,-4.987705093981417,openfield_ca1,24101_2018-03-26,24101,open field / navigation,spike_lfp,spike/unit analysis,21,-2.6951640493667806,-5.000067452546921,3
-2.755200145031291,-4.987705093981402,openfield_ca1,24101_2018-03-27,24101,open field / navigation,spike_lfp,spike/unit analysis,21,-2.679954967719994,-5.021971319754451,3
-2.7552001450312615,-4.98770509398141,openfield_ca1,24101_2018-04-03,24101,open field / navigation,spike_lfp,spike/unit analysis,21,-2.9112829601235686,-5.015875778020469,3
-2.7552001450313144,-4.98770509398139,openfield_ca1,24101_2018-04-04,24101,open field / navigation,spike_lfp,spike/unit analysis,21,-2.8593745055802997,-4.945120359137122,3
-2.7552001450313126,-4.987705093981375,openfield_ca1,24101_2018-04-05,24101,open field / navigation,spike_lfp,spike/unit analysis,21,-2.74497291277793,-4.958469568832249,3
-2.7552001450313113,-4.987705093981381,openfield_ca1,24101_2018-04-06,24101,open field / navigation,spike_lfp,spike/unit analysis,21,-2.7804995524187976,-4.954686485053702,3
-2.7552001450313,-4.9877050939813765,openfield_ca1,24101_2018-04-11,24101,open field / navigation,spike_lfp,spike/unit analysis,21,-2.756544237631643,-4.953239413740746,3
-2.755200145031309,-4.987705093981396,openfield_ca1,24101_2018-04-13,24101,open field / navigation,spike_lfp,spike/unit analysis,21,-2.8234436592371956,-4.816373285911759,3
-2.7552001450313095,-4.9877050939813925,openfield_ca1,24101_2018-04-17,24101,open field / navigation,spike_lfp,spike/unit analysis,21,-2.6848483070422833,-5.020218295292162,3
-2.755200145031306,-4.987705093981381,openfield_ca1,24101_2018-04-18,24101,open field / navigation,spike_lfp,spike/unit analysis,21,-2.69297679019699,-5.028684512307104,3
-2.7552001450313095,-4.987705093981372,openfield_ca1,24101_2018-04-23,24101,open field / navigation,spike_lfp,spike/unit analysis,21,-2.7499176892264123,-5.052806912241202,3
-2.755200145031309,-4.9877050939814,openfield_ca1,24101_2018-04-24,24101,open field / navigation,spike_lfp,spike/unit analysis,21,-2.6650208484738664,-4.93842674017536,3
-2.7552001450313064,-4.987705093981393,openfield_ca1,24101_2018-04-25,24101,open field / navigation,spike_lfp,spike/unit analysis,21,-2.7177993976511425,-4.8973873105637225,3
-2.7552001450313033,-4.987705093981397,openfield_ca1,24101_2018-04-30,24101,open field / navigation,spike_lfp,spike/unit analysis,21,-2.8239435420619623,-4.996820890593787,3
-2.7552001450313073,-4.987705093981387,openfield_ca1,24101_2018-05-02,24101,open field / navigation,spike_lfp,spike/unit analysis,21,-2.7257000823047073,-5.054917612138389,3
-2.7552001450313073,-4.987705093981387,openfield_ca1,24101_2018-05-03,24101,open field / navigation,spike_lfp,spike/unit analysis,21,-2.831910753097627,-5.0536635912366865,3
-2.7552001450313073,-4.987705093981387,openfield_ca1,24101_2018-05-04,24101,open field / navigation,spike_lfp,spike/unit analysis,21,-2.6849241209267256,-4.935657670955411,3
-2.7552001450313073,-4.987705093981387,openfield_ca1,24101_2018-05-07,24101,open field / navigation,spike_lfp,spike/unit analysis,21,-2.7591942179102076,-4.928244760285112,3
-2.7552001450313073,-4.987705093981387,openfield_ca1,24101_2018-05-08,24101,open field / navigation,spike_lfp,spike/unit analysis,21,-2.7699891341149283,-4.944252752516972,3
2.5081663548395414,-3.3483015709249733,openfield_ca1,24116_2018-04-03,24116,open field / navigation,spike_behavior,spike-behavior analysis,93,2.454925578256446,-3.4295478974215765,0
2.5081663548395414,-3.348301570924973,openfield_ca1,24116_2018-04-05,24116,open field / navigation,spike_behavior,spike-behavior analysis,93,2.526739260684879,-3.323220463128957,0
2.5081663548395414,-3.3483015709249737,openfield_ca1,24116_2018-04-06,24116,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5175012195707995,-3.281251445493423,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,24116_2018-04-19,24116,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5256614425778623,-3.18856309958963,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,24116_2018-04-20,24116,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5778806570753967,-3.115192573644387,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,24116_2018-04-22,24116,open field / navigation,spike_behavior,spike-behavior analysis,93,2.526053998741516,-3.3151488162628935,0
2.5081663548395414,-3.3483015709249737,openfield_ca1,24116_2018-04-25,24116,open field / navigation,spike_behavior,spike-behavior analysis,93,2.562479439885293,-3.4274646205275228,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,24116_2018-04-26,24116,open field / navigation,spike_behavior,spike-behavior analysis,93,2.513572680398653,-3.518865273383478,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,24116_2018-04-27,24116,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5312959067347403,-3.3268846539374666,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,24116_2018-04-30,24116,open field / navigation,spike_behavior,spike-behavior analysis,93,2.5586694129066245,-3.4133368585497994,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,24116_2018-05-02,24116,open field / navigation,spike_behavior,spike-behavior analysis,93,2.391593889251088,-3.381530151739348,0
2.5081663548395414,-3.3483015709249737,openfield_ca1,24116_2018-05-03,24116,open field / navigation,spike_behavior,spike-behavior analysis,93,2.482592657530957,-3.3972693148497584,0
2.5081663548395414,-3.3483015709249737,openfield_ca1,24116_2018-05-04,24116,open field / navigation,spike_behavior,spike-behavior analysis,93,2.470536542496118,-3.3595648418382846,0
2.508166354839542,-3.348301570924973,openfield_ca1,25398_2019-04-29,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4570561269800746,-3.2630231524619613,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,25398_2019-04-30,25398,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4861549747414067,-3.3357376855293457,0
