dataset_short_name,session_id,subject_id,metadata_profile_label,cluster,pca_1,pca_2
openfield_ca1,25398_2019-06-25,25398,navigation/open-field ephys profile,0,-1.0746236481500007,-2.717388278758149
openfield_ca1,25398_2019-06-27,25398,navigation/open-field ephys profile,0,-1.256046719552799,-2.631016643025187
openfield_ca1,25398_2019-06-28,25398,navigation/open-field ephys profile,0,-1.241648929594937,-2.5829872212252214
openfield_ca1,25398_2019-07-02,25398,navigation/open-field ephys profile,0,-1.148403316788026,-2.610766042708301
openfield_ca1,25398_2019-07-03,25398,navigation/open-field ephys profile,0,-1.1515718900511538,-2.5436030161731753
openfield_ca1,25398_2019-07-04,25398,navigation/open-field ephys profile,0,-1.0110493406904373,-2.63130758421316
openfield_ca1,25398_2019-07-30,25398,navigation/open-field ephys profile,0,-1.2241380093549692,-2.5245727439497223
openfield_ca1,25398_2019-07-31,25398,navigation/open-field ephys profile,0,-1.0658380652297186,-2.698315578155952
openfield_ca1,25398_2019-08-01,25398,navigation/open-field ephys profile,0,-1.231523113225101,-2.5492086269465717
openfield_ca1,25398_2019-08-02,25398,navigation/open-field ephys profile,0,-1.231873282424475,-2.5503767523482694
openfield_ca1,25398_2019-08-07,25398,navigation/open-field ephys profile,0,-1.233277977507127,-2.5550626585062615
openfield_ca1,25398_2019-08-08,25398,navigation/open-field ephys profile,0,-1.2304226940571934,-2.545537751310319
openfield_ca1,25398_2019-08-09,25398,navigation/open-field ephys profile,0,-1.2197505741117078,-2.5099367492216857
openfield_ca1,25398_2019-08-13,25398,navigation/open-field ephys profile,0,-1.222596662249874,-2.5194309818829423
openfield_ca1,25398_2019-08-14,25398,navigation/open-field ephys profile,0,-1.2120737570807911,-2.484327743649431
openfield_ca1,25398_2019-08-15,25398,navigation/open-field ephys profile,0,-1.2090192299492275,-2.4741381817492587
openfield_ca1,25398_2019-09-03,25398,navigation/open-field ephys profile,0,-1.2190619616211575,-2.507639614740481
openfield_ca1,25398_2019-09-04,25398,navigation/open-field ephys profile,0,-1.2164624136353033,-2.4989678125356107
openfield_ca1,25398_2019-09-16,25398,navigation/open-field ephys profile,0,-1.226308287195451,-2.5318125488175993
openfield_ca1,25398_2019-09-17,25398,navigation/open-field ephys profile,0,-1.2179400714413215,-2.50389711420267
openfield_ca1,25398_2019-09-18,25398,navigation/open-field ephys profile,0,-1.2324367491123498,-2.552256414386775
openfield_ca1,25398_2019-09-19,25398,navigation/open-field ephys profile,0,-1.2334688142333907,-2.5556992685448496
openfield_ca1,25398_2019-09-20,25398,navigation/open-field ephys profile,0,-1.2286163325042452,-2.5395119305973006
openfield_ca1,25398_2019-10-07,25398,navigation/open-field ephys profile,0,-1.2258324634867157,-2.5302252539844234
openfield_ca1,25398_2019-10-08,25398,navigation/open-field ephys profile,0,-1.22447817017916,-2.525707482527844
