cluster,n_rows,datasets,dominant_profile_labels,recommended_analysis_types,mean_metadata_completeness_score,mean_ephys_richness_score,mean_behavior_richness_score,mean_openminds_readiness_score,mean_data_analysis_potential_score,mean_best_unit_count,mean_best_spike_count,mean_n_lfp_channels,mean_n_trials,mean_n_event_times_total
0,114,openfield_ca1,spike+LFP ephys profile; spike+behavior reusable profile,spike-behavior analysis; spike/unit analysis,0.7105263157894738,0.8333333333333334,0.2719298245614035,0.6666666666666666,0.8771929824561403,9.728070175438596,405529.4035087719,5.842105263157895,0.0,0.0
1,46,touchandsee,spike+LFP ephys profile; spike+behavior reusable profile,LFP-behavior analysis; spike-behavior analysis,0.6383399209486166,0.3369565217391305,0.6666666666666667,0.5,0.5072463768115942,2306.282608695652,6153.434782608696,162.7173913043478,54.23913043478261,325.4347826086956
2,53,nwb_ca1,spike+behavior reusable profile,spike-behavior analysis,0.8181818181818183,0.8333333333333336,0.6666666666666664,1.0,0.6666666666666664,2345.5283018867926,0.0,0.0,0.0,0.0
3,25,legacy_touchscreen,spike+behavior reusable profile,spike-behavior analysis,0.9090909090909091,0.8333333333333333,1.0,0.6666666666666667,1.0,48.52,1464397.92,127.28,142.16,36992.44
