dataset_short_name,dataset_name,source_type,source_format,session_id,subject_id,session_date,recording_system,behavioral_context,extraction_success,n_files,file_extensions,recording_duration_s,n_units,n_spiketrains,n_spikes_total,raw_spike_events_total,sorted_units_mclust,sorted_unit_spikes_total_mclust,n_lfp_channels,n_electrodes,n_trials,n_event_objects,n_event_times_total,n_position_samples,sampling_rates_hz,brain_regions,unit_source,has_subject_metadata,has_session_metadata,has_session_date,has_recording_duration,has_spike_metadata,has_unit_metadata,has_sorted_unit_metadata,has_lfp_metadata,has_trial_metadata,has_event_metadata,has_position_metadata,has_sampling_rate_metadata,has_brain_region_metadata,has_standardized_format,has_openminds_candidate_metadata,error,species,sex,institution,experimenter,electrode_columns,unit_columns,file_size_mb,metadata_completeness_score,ephys_richness_score,behavior_richness_score,openminds_readiness_score,log_n_units,log_n_spikes_total,log_raw_spike_events_total,log_n_lfp_channels,log_n_electrodes,log_n_trials,log_n_event_times_total,metadata_profile_label,pca_1,pca_2,cluster
openfield_ca1,d-40faae41-7e72-4c3c-9abf-91dea149158d,openfield,Axona/Neuralynx/MClust/OptiTrack,24101_2018-04-17,24101,2018-04-17,Neuralynx,open field / navigation,True,69.0,.ncs; .ntt; .clusters; .t64; .fd; .nvt,2279.0,34,34,21596.0,205994.0,34.0,21596.0,14.0,0.0,0,0.0,0.0,0.0,2000.0,,MClust sorted units,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,,,,,,,,0.0,0.6363636363636364,0.8333333333333334,0.0,0.6666666666666666,3.5553480614894135,9.980309695137413,12.235607175632492,2.70805020110221,0.0,0.0,0.0,spike+LFP ephys profile,-0.5312345787509006,-3.1117736080491802,0
openfield_ca1,d-40faae41-7e72-4c3c-9abf-91dea149158d,openfield,Axona/Neuralynx/MClust/OptiTrack,24101_2018-04-18,24101,2018-04-18,Neuralynx,open field / navigation,True,41.0,.t64; .ncs; .ntt; .clusters; .nvt,2038.0,11,11,25913.0,297578.0,11.0,25913.0,14.0,0.0,0,0.0,0.0,0.0,2000.0,,MClust sorted units,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,,,,,,,,0.0,0.6363636363636364,0.8333333333333334,0.0,0.6666666666666666,2.4849066497880004,10.162538642188757,12.603435014935153,2.70805020110221,0.0,0.0,0.0,spike+LFP ephys profile,-0.4349543729716449,-3.2253587417950778,0
openfield_ca1,d-40faae41-7e72-4c3c-9abf-91dea149158d,openfield,Axona/Neuralynx/MClust/OptiTrack,24101_2018-04-23,24101,2018-04-23,Neuralynx,open field / navigation,True,50.0,.ncs; .ntt; .clusters; .t64; .fd; .nvt,5010.0,16,16,16482.0,416621.0,16.0,16482.0,14.0,0.0,0,0.0,0.0,0.0,2000.0,,MClust sorted units,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,,,,,,,,0.0,0.6363636363636364,0.8333333333333334,0.0,0.6666666666666666,2.833213344056216,9.710084825731355,12.939934614864043,2.70805020110221,0.0,0.0,0.0,spike+LFP ephys profile,-0.47770403794307564,-3.2142409524457096,0
openfield_ca1,d-40faae41-7e72-4c3c-9abf-91dea149158d,openfield,Axona/Neuralynx/MClust/OptiTrack,24101_2018-04-24,24101,2018-04-24,Neuralynx,open field / navigation,True,54.0,.ncs; .ntt; .clusters; .t64; .fd; .nvt,2581.0,20,20,21448.0,731088.0,20.0,21448.0,14.0,0.0,0,0.0,0.0,0.0,2000.0,,MClust sorted units,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,,,,,,,,0.0,0.6363636363636364,0.8333333333333334,0.0,0.6666666666666666,3.044522437723423,9.973433303222794,13.502290482346853,2.70805020110221,0.0,0.0,0.0,spike+LFP ephys profile,-0.5042053859127681,-3.22615560078466,0
openfield_ca1,d-40faae41-7e72-4c3c-9abf-91dea149158d,openfield,Axona/Neuralynx/MClust/OptiTrack,24101_2018-04-25,24101,2018-04-25,Neuralynx,open field / navigation,True,62.0,.ncs; .ntt; .clusters; .t64; .fd; .nvt,2907.0,23,23,134365.0,516776.0,23.0,134365.0,14.0,0.0,0,0.0,0.0,0.0,2000.0,,MClust sorted units,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,,,,,,,,0.0,0.6363636363636364,0.8333333333333334,0.0,0.6666666666666666,3.1780538303479458,11.808322698876836,13.155366725816204,2.70805020110221,0.0,0.0,0.0,spike+LFP ephys profile,-0.49281659412547074,-3.1918533063281807,0
openfield_ca1,d-40faae41-7e72-4c3c-9abf-91dea149158d,openfield,Axona/Neuralynx/MClust/OptiTrack,24101_2018-04-30,24101,2018-04-30,Neuralynx,open field / navigation,True,43.0,.ncs; .ntt; .clusters; .t64; .fd; .nvt,2026.0,9,9,13328.0,1062349.0,9.0,13328.0,14.0,0.0,0,0.0,0.0,0.0,2000.0,,MClust sorted units,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,,,,,,,,0.0,0.6363636363636364,0.8333333333333334,0.0,0.6666666666666666,2.302585092994046,9.497697391604019,13.875993993343785,2.70805020110221,0.0,0.0,0.0,spike+LFP ephys profile,-0.4454050971072349,-3.3125732774557703,0
openfield_ca1,d-40faae41-7e72-4c3c-9abf-91dea149158d,openfield,Axona/Neuralynx/MClust/OptiTrack,24101_2018-05-02,24101,2018-05-02,Neuralynx,open field / navigation,True,40.0,.ncs; .ntt; .clusters; .t64; .fd; .nvt,6467.0,6,6,15567.0,997821.0,6.0,15567.0,14.0,0.0,0,0.0,0.0,0.0,2000.0,,MClust sorted units,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,,,,,,,,0.0,0.6363636363636364,0.8333333333333334,0.0,0.6666666666666666,1.9459101490553132,9.652972804425787,13.813330182672724,2.70805020110221,0.0,0.0,0.0,spike+LFP ephys profile,-0.4093326490363916,-3.340053359803218,0
openfield_ca1,d-40faae41-7e72-4c3c-9abf-91dea149158d,openfield,Axona/Neuralynx/MClust/OptiTrack,24101_2018-05-03,24101,2018-05-03,Neuralynx,open field / navigation,True,54.0,.ncs; .ntt; .clusters; .t64; .fd; .nvt,7667.0,15,15,28010.0,959997.0,15.0,28010.0,14.0,0.0,0,0.0,0.0,0.0,2000.0,,MClust sorted units,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,,,,,,,,0.0,0.6363636363636364,0.8333333333333334,0.0,0.6666666666666666,2.772588722239781,10.240352569152035,13.774686480108516,2.70805020110221,0.0,0.0,0.0,spike+LFP ephys profile,-0.48050639539939133,-3.264425163993048,0
openfield_ca1,d-40faae41-7e72-4c3c-9abf-91dea149158d,openfield,Axona/Neuralynx/MClust/OptiTrack,24101_2018-05-04,24101,2018-05-04,Neuralynx,open field / navigation,True,53.0,.ncs; .ntt; .clusters; .t64; .fd; .nvt,10755.0,14,14,8563.0,1049325.0,14.0,8563.0,14.0,0.0,0,0.0,0.0,0.0,2000.0,,MClust sorted units,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,,,,,,,,0.0,0.6363636363636364,0.8333333333333334,0.0,0.6666666666666666,2.70805020110221,9.055322649709574,13.863658611262734,2.70805020110221,0.0,0.0,0.0,spike+LFP ephys profile,-0.4876731545841228,-3.27725141879739,0
openfield_ca1,d-40faae41-7e72-4c3c-9abf-91dea149158d,openfield,Axona/Neuralynx/MClust/OptiTrack,24101_2018-05-07,24101,2018-05-07,Neuralynx,open field / navigation,True,42.0,.ncs; .ntt; .clusters; .t64; .fd; .nvt,3898.0,8,8,5271.0,939766.0,8.0,5271.0,14.0,0.0,0,0.0,0.0,0.0,2000.0,,MClust sorted units,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,,,,,,,,0.0,0.6363636363636364,0.8333333333333334,0.0,0.6666666666666666,2.1972245773362196,8.570165076182343,13.753387251180335,2.70805020110221,0.0,0.0,0.0,spike+LFP ephys profile,-0.4426947704336389,-3.3168432651739206,0
