feature,PC1_loading,PC2_loading,abs_PC1_loading,abs_PC2_loading,max_abs_loading
n_units,-0.38326277504861583,0.18371437735751983,0.38326277504861583,0.18371437735751983,0.38326277504861583
total_spikes,-0.3233639476388517,0.4539835293734829,0.3233639476388517,0.4539835293734829,0.4539835293734829
median_firing_rate_hz,0.4095425180115833,0.07471100515169145,0.4095425180115833,0.07471100515169145,0.4095425180115833
mean_firing_rate_hz,0.3776811998961599,0.47926707221170667,0.3776811998961599,0.47926707221170667,0.47926707221170667
std_firing_rate_hz,0.2839444704849891,0.5991784812434728,0.2839444704849891,0.5991784812434728,0.5991784812434728
active_unit_fraction_0_1hz,0.2335612558884848,-0.25620948345732525,0.2335612558884848,0.25620948345732525,0.25620948345732525
active_unit_fraction_1hz,0.420952035848425,0.017621792040030015,0.420952035848425,0.017621792040030015,0.420952035848425
median_duration_s,-0.3546847907072422,0.3160706289093815,0.3546847907072422,0.3160706289093815,0.3546847907072422
