dataset_short_name,session_id,subject_id,behavioral_context,brain_region,n_units,total_spikes,median_firing_rate_hz,mean_firing_rate_hz,std_firing_rate_hz,active_unit_fraction_0_1hz,active_unit_fraction_1hz,median_duration_s,min_duration_s,max_duration_s,extraction_methods
nwb_ca1,26863_2020-Nov-04_12-46-06,26863_Ash,35 mins; OF; decent coverage; still plugged in from previous session in room 2.408,LEC,1072,4398057,1.3532621543423333,1.9307456084668828,2.570871328406924,0.9850746268656716,0.6147388059701493,2125.92035,1543.1935666666668,2127.9915333333333,nwb_units_spike_times
nwb_ca1,26863_2020-Nov-05_10-26-23,26863_Ash,open field; object,LEC,721,2367240,1.4990296912195697,2.160846492182691,3.1393632917102705,0.9750346740638003,0.6726768377253814,1523.0992333333334,750.6828333333333,1524.9931,nwb_units_spike_times
nwb_ca1,26965_2020-Dec-07_15-52-32,26965_Bubinga,NWB CA1 electrophysiology,LEC,393,2316760,2.6704051378866156,220.67643314633537,3089.9331094889653,0.8498727735368957,0.6997455470737913,1289.228766666667,6.666666649834951e-05,1289.9954000000007,nwb_units_spike_times
nwb_ca1,26965_2020-Dec-07_16-51-52,26965_Bubinga,NWB CA1 electrophysiology,LEC,393,3592995,6.239519760416752,11.11330591804647,18.58128434807194,0.9847328244274809,0.8549618320610687,894.5546999999998,0.7385666666666566,894.9956666666667,nwb_units_spike_times
nwb_ca1,26965_2020-Dec-08_10-46-12,26965_Bubinga,figure-eight,LEC,393,3654830,6.217897374035261,11.147155851335334,18.6265962183666,0.9847328244274809,0.8549618320610687,907.6261999999998,0.7385666666666566,907.9982666666665,nwb_units_spike_times
nwb_ca1,26965_2020-Dec-08_11-29-48,26965_Bubinga,open field (motive crashed),LEC,240,592671,1.6710337608186707,2.8080712358390967,3.2853607783842196,0.8666666666666667,0.5833333333333334,878.7521166666667,116.14896666666667,881.2452,nwb_units_spike_times
nwb_ca1,26965_2020-Dec-08_14-36-11,26965_Bubinga,open field; party lights,LEC,548,2448577,4.561337487435859,6.000090258129734,5.807220118012133,0.9872262773722628,0.8631386861313869,747.5509166666666,641.3692000000001,747.9899333333333,nwb_units_spike_times
nwb_ca1,26965_2020-Dec-09_11-52-59,26965_Bubinga,figure-eight,LEC,544,890814,1.4439536922454073,2.045788456221424,2.702209210189461,0.9246323529411765,0.6102941176470589,803.8873833333333,191.50239999999997,805.9876333333333,nwb_units_spike_times
nwb_ca1,26965_2020-Dec-09_12-10-58,26965_Bubinga,open field; object,LEC,548,2584331,4.583853527700683,6.010972045002725,5.807225367803233,0.9872262773722628,0.8686131386861314,787.5217666666667,742.0601666666671,787.9954666666663,nwb_units_spike_times
nwb_ca1,26965_2020-Dec-11_10-58-11,26965_Bubinga,open field; party lights,LEC,544,623289,1.4340569900602977,2.0357305459978923,2.687124336189322,0.9301470588235294,0.6121323529411765,564.8704166666666,68.88733333333334,566.9878333333334,nwb_units_spike_times
nwb_ca1,26966_2020-Dec-14_15-18-10,26966_Cedar,open field; novel object,LEC,477,2247620,2.806988508267642,10.467221570125432,83.84183996785207,0.9475890985324947,0.750524109014675,1026.8271999999995,0.0034666666670091217,1027.9944333333335,nwb_units_spike_times
nwb_ca1,26966_2020-Dec-14_16-26-40,26966_Cedar,NWB CA1 electrophysiology,LEC,477,3368414,5.407746378549016,9.50426014910304,11.931127578948443,0.9559748427672956,0.8364779874213837,745.3906500000003,35.36120000000028,745.9948666666669,nwb_units_spike_times
nwb_ca1,26966_2020-Dec-15_11-47-50,26966_Cedar,figure-eight,LEC,477,3177182,5.458498450341543,9.675462683129243,12.160326982493062,0.9538784067085954,0.8301886792452831,691.6191000000003,85.82426666666697,691.9971666666667,nwb_units_spike_times
nwb_ca1,26966_2020-Dec-16_11-48-01,26966_Cedar,open field; object,LEC,540,1186314,1.7939895392536167,9.160276044267514,151.50467678307734,0.9666666666666667,0.6833333333333333,906.6428333333333,1.4232000000000653,907.9696333333334,nwb_units_spike_times
