pca_1,pca_2,dataset_short_name,session_id,behavioral_context,n_units,median_firing_rate_hz,total_spikes
-1.8890203873207538,1.1332891534593237,nwb_ca1,29630_2024-Sep-17_07-08-26,sleep,2728,1.1406954645233514,33141664
0.27212961967579397,1.7116235034064513,nwb_ca1,29630_2024-Sep-17_09-22-08,"OF, OBJ",2119,1.1322755875566677,10789888
-3.0815780661591234,0.7587032442867857,nwb_ca1,29630_2024-Sep-17_13-26-08,seq1,6978,0.21799268819050444,17076365
-2.184338743496172,1.126762765355885,nwb_ca1,29630_2024-Sep-17_23-09-30,sleep,2776,1.0299253730931694,36193593
-0.61527016513668,-0.25059943421266956,nwb_ca1,29630_2024-Sep-18_10-18-21,"OF, OBJ",1918,1.149840655277791,8423685
-2.41842296594601,-0.6438264000906803,nwb_ca1,29630_2024-Sep-18_14-20-12,seq2,4732,0.35059889463131966,7727046
-1.006762450821346,-0.5283617764493173,nwb_ca1,29630_2024-Sep-18_15-19-16,"OF, OBJ",2246,0.8593194532894513,7183054
-2.5570916376878903,1.2560996503143917,nwb_ca1,29630_2024-Sep-19_05-09-20,sleep,2195,0.9909283774401579,36599896
-2.802502948640062,-0.4411683371302926,nwb_ca1,29630_2024-Sep-19_11-15-17,seq1,5029,0.2765476454623019,9718141
-0.8005722909643036,-0.6466007526207775,nwb_ca1,29630_2024-Sep-20_09-49-05,"OF, OBJ",1749,0.898134482644565,5833375
-2.441828433500337,-0.7196790770076186,nwb_ca1,29630_2024-Sep-20_10-32-21,seq1,5744,0.36150462970137454,7885842
-2.156797021986831,-0.8111144445035716,nwb_ca1,29630_2024-Sep-20_13-20-20,seq2,4461,0.4446936516078336,7112129
-2.5257759758325977,-0.8998076179395932,nwb_ca1,29630_2024-Sep-24_14-25-53,seq2,6523,0.3536413310758639,6543174
