dataset_short_name,file,status,message
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Taskmaster\samp12\hbp-01681_TouchAndSee_Taskmaster_samp12__2012-01-17.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Taskmaster\samp13\hbp-01681_TouchAndSee_Taskmaster_samp13__2012-01-18.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Taskmaster\samp14\hbp-01681_TouchAndSee_Taskmaster_samp14__2011-12-22.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Taskmaster\samp15\hbp-01681_TouchAndSee_Taskmaster_samp15__2011-12-23.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Taskmaster\samp16\hbp-01681_TouchAndSee_Taskmaster_samp16__2011-12-24.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Taskmaster\samp17\hbp-01681_TouchAndSee_Taskmaster_samp17__2011-12-25.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Taskmaster\samp18\hbp-01681_TouchAndSee_Taskmaster_samp18__2011-12-29.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Taskmaster\samp19\hbp-01681_TouchAndSee_Taskmaster_samp19__2011-12-30.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Taskmaster\samp2\hbp-01681_TouchAndSee_Taskmaster_samp2__2012-01-03.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Taskmaster\samp3\hbp-01681_TouchAndSee_Taskmaster_samp3__2012-01-04.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Taskmaster\samp4\hbp-01681_TouchAndSee_Taskmaster_samp4__2012-01-05.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Taskmaster\samp5\hbp-01681_TouchAndSee_Taskmaster_samp5__2012-01-06.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Taskmaster\samp6\hbp-01681_TouchAndSee_Taskmaster_samp6__2012-01-10.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Taskmaster\samp7\hbp-01681_TouchAndSee_Taskmaster_samp7__2012-01-11.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Taskmaster\samp8\hbp-01681_TouchAndSee_Taskmaster_samp8__2012-01-12.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Taskmaster\samp9\hbp-01681_TouchAndSee_Taskmaster_samp9__2012-01-14.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Turing\samp34\hbp-01681_TouchAndSee_Turing_samp34__2012-09-14.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Turing\samp35\hbp-01681_TouchAndSee_Turing_samp35__2012-09-15.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Turing\samp36\hbp-01681_TouchAndSee_Turing_samp36__2012-09-15.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Turing\samp37\hbp-01681_TouchAndSee_Turing_samp37__2012-09-16.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Turing\samp38\hbp-01681_TouchAndSee_Turing_samp38__2012-09-17.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Turing\samp39\hbp-01681_TouchAndSee_Turing_samp39__2012-09-18.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Turing\samp40\hbp-01681_TouchAndSee_Turing_samp40__2012-09-19.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Turing\samp41\hbp-01681_TouchAndSee_Turing_samp41__2012-09-19.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Turing\samp42\hbp-01681_TouchAndSee_Turing_samp42__2012-09-20.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Turing\samp43\hbp-01681_TouchAndSee_Turing_samp43__2012-09-21.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Turing\samp44\hbp-01681_TouchAndSee_Turing_samp44__2012-09-22.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Turing\samp45\hbp-01681_TouchAndSee_Turing_samp45__2012-09-25.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
touchandsee,C:\Users\tkassably\Downloads\p25b4e-Pennartz_SGA1_T3.3.3-hbp-01681\TouchAndSee\Turing\samp46\hbp-01681_TouchAndSee_Turing_samp46__2012-09-26.pkl,failed,"TypeError('neo.core.analogsignal.AnalogSignal() argument after ** must be a mapping, not NoneType')"
