PC1,PC2,dataset_short_name,session_id,subject_id,behavioral_context,source_level
-1.2420528504700605,0.46895121471991363,openfield_ca1,25398_2019-06-21,25398,open_field,session_summary_plus_mclust_units
1.321001772609624,4.636974960015922,openfield_ca1,25398_2019-06-24,25398,open_field,session_summary_plus_mclust_units
0.3807320182036793,3.356319870764206,openfield_ca1,25398_2019-06-25,25398,open_field,session_summary_plus_mclust_units
-1.240949121540019,0.4654217961978182,openfield_ca1,25398_2019-06-27,25398,open_field,session_summary_plus_mclust_units
-1.2385624426959623,0.45778986023126755,openfield_ca1,25398_2019-06-28,25398,open_field,session_summary_plus_mclust_units
-0.010302444861089765,2.521401927134639,openfield_ca1,25398_2019-07-02,25398,open_field,session_summary_plus_mclust_units
0.6152798976963666,3.495837727940842,openfield_ca1,25398_2019-07-03,25398,open_field,session_summary_plus_mclust_units
0.25508507262225943,3.138307783689235,openfield_ca1,25398_2019-07-04,25398,open_field,session_summary_plus_mclust_units
-1.2183943038023068,0.39329775439801695,openfield_ca1,25398_2019-07-30,25398,open_field,session_summary_plus_mclust_units
0.5516935814688911,3.615787672169757,openfield_ca1,25398_2019-07-31,25398,open_field,session_summary_plus_mclust_units
-1.2420347579468076,0.4688933598563305,openfield_ca1,25398_2019-08-01,25398,open_field,session_summary_plus_mclust_units
-1.2420528504700605,0.46895121471991363,openfield_ca1,25398_2019-08-02,25398,open_field,session_summary_plus_mclust_units
-1.2420528504700605,0.46895121471991363,openfield_ca1,25398_2019-08-07,25398,open_field,session_summary_plus_mclust_units
-1.2420528504700605,0.46895121471991363,openfield_ca1,25398_2019-08-08,25398,open_field,session_summary_plus_mclust_units
-1.2337787976793466,0.44249309227925093,openfield_ca1,25398_2019-08-09,25398,open_field,session_summary_plus_mclust_units
-1.2386227827560279,0.45798281098196647,openfield_ca1,25398_2019-08-13,25398,open_field,session_summary_plus_mclust_units
-1.2420347579468076,0.4688933598563305,openfield_ca1,25398_2019-08-14,25398,open_field,session_summary_plus_mclust_units
-1.2364843853440117,0.4511448100669351,openfield_ca1,25398_2019-08-15,25398,open_field,session_summary_plus_mclust_units
-1.2347888235052584,0.445722874303388,openfield_ca1,25398_2019-09-03,25398,open_field,session_summary_plus_mclust_units
-1.240949121540019,0.4654217961978182,openfield_ca1,25398_2019-09-04,25398,open_field,session_summary_plus_mclust_units
-1.2420528504700605,0.46895121471991363,openfield_ca1,25398_2019-09-16,25398,open_field,session_summary_plus_mclust_units
-1.2296323667387539,0.42923395793567054,openfield_ca1,25398_2019-09-17,25398,open_field,session_summary_plus_mclust_units
-1.2420347579468076,0.4688933598563305,openfield_ca1,25398_2019-09-18,25398,open_field,session_summary_plus_mclust_units
-1.2420347579468076,0.4688933598563305,openfield_ca1,25398_2019-09-19,25398,open_field,session_summary_plus_mclust_units
-1.235215477834618,0.44708719633173,openfield_ca1,25398_2019-09-20,25398,open_field,session_summary_plus_mclust_units
-1.2420528504700605,0.46895121471991363,openfield_ca1,25398_2019-10-07,25398,open_field,session_summary_plus_mclust_units
-1.2420528504700605,0.46895121471991363,openfield_ca1,25398_2019-10-08,25398,open_field,session_summary_plus_mclust_units
0.45589904258653413,3.318405521402499,openfield_ca1,25398_2019-10-09,25398,open_field,session_summary_plus_mclust_units
0.30090956487609044,3.0109337755137795,openfield_ca1,25398_2019-10-10,25398,open_field,session_summary_plus_mclust_units
0.4615189621303655,3.3159796091832425,openfield_ca1,25398_2019-10-23,25398,open_field,session_summary_plus_mclust_units
-1.2420347579468076,0.4688933598563305,openfield_ca1,25398_2019-10-24,25398,open_field,session_summary_plus_mclust_units
-1.2420347579468076,0.4688933598563305,openfield_ca1,26019_2020-01-06,26019,open_field,session_summary_plus_mclust_units
-1.229605878578171,0.4291492561560647,openfield_ca1,26019_2020-01-07,26019,open_field,session_summary_plus_mclust_units
-1.2420347579468076,0.4688933598563305,openfield_ca1,26019_2020-01-08,26019,open_field,session_summary_plus_mclust_units
-1.235193161038263,0.4470158334161939,openfield_ca1,26019_2020-01-09,26019,open_field,session_summary_plus_mclust_units
-1.2380347626308739,0.4561024859632087,openfield_ca1,26019_2020-01-10,26019,open_field,session_summary_plus_mclust_units
-1.2420347579468076,0.4688933598563305,openfield_ca1,26019_2020-01-13,26019,open_field,session_summary_plus_mclust_units
-1.240648370342209,0.46446007741053175,openfield_ca1,26019_2020-01-14,26019,open_field,session_summary_plus_mclust_units
-1.2329284795470485,0.43977401109534764,openfield_ca1,26019_2020-01-15,26019,open_field,session_summary_plus_mclust_units
-1.228990632870675,0.4271818712877581,openfield_ca1,26019_2020-01-16,26019,open_field,session_summary_plus_mclust_units
-1.23756073933099,0.45458669112538463,openfield_ca1,26019_2020-01-17,26019,open_field,session_summary_plus_mclust_units
