dataset_name,file_name,relative_path,file_extension,file_size_mb,rat_id,subject_id,session_date,session_id,data_label,possible_signal_type,neo_attempted,neo_success,neo_error,neo_io_class,neo_loading_mode,n_segments,n_analogsignals,n_spiketrains,n_events,n_epochs,sampling_rates_hz,units,durations_s,pickle_attempted,pickle_success,pickle_error,nwb_attempted,nwb_success,nwb_error,notes
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-16_181016.pkl,neo_rat-16_181016.pkl,.pkl,257.548,rat-16,rat-16,181016,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,,,,,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-16_181016_lfps.nio,neo_rat-16_181016_lfps.nio,.nio,1655.404,rat-16,rat-16,181016,,lfps,,True,False,nio is not a supported format of any IO.,,,,,,,,,,,,,,,,,.nio is not recognized as a standard Neo IO format by the current environment. File-level metadata and Neo attempt are recorded.
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-16_181021.pkl,neo_rat-16_181021.pkl,.pkl,212.896,rat-16,rat-16,181021,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,,,,,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-16_181021_lfps.nio,neo_rat-16_181021_lfps.nio,.nio,1247.217,rat-16,rat-16,181021,,lfps,,True,False,nio is not a supported format of any IO.,,,,,,,,,,,,,,,,,.nio is not recognized as a standard Neo IO format by the current environment. File-level metadata and Neo attempt are recorded.
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-16_181022.pkl,neo_rat-16_181022.pkl,.pkl,295.548,rat-16,rat-16,181022,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,,,,,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-16_181022_lfps.nio,neo_rat-16_181022_lfps.nio,.nio,2628.678,rat-16,rat-16,181022,,lfps,,True,False,nio is not a supported format of any IO.,,,,,,,,,,,,,,,,,.nio is not recognized as a standard Neo IO format by the current environment. File-level metadata and Neo attempt are recorded.
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-16_181023.pkl,neo_rat-16_181023.pkl,.pkl,270.244,rat-16,rat-16,181023,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,,,,,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-16_181023_lfps.nio,neo_rat-16_181023_lfps.nio,.nio,2705.803,rat-16,rat-16,181023,,lfps,,True,False,nio is not a supported format of any IO.,,,,,,,,,,,,,,,,,.nio is not recognized as a standard Neo IO format by the current environment. File-level metadata and Neo attempt are recorded.
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-16_181024.pkl,neo_rat-16_181024.pkl,.pkl,190.476,rat-16,rat-16,181024,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,,,,,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-16_181024_lfps.nio,neo_rat-16_181024_lfps.nio,.nio,1374.029,rat-16,rat-16,181024,,lfps,,True,False,nio is not a supported format of any IO.,,,,,,,,,,,,,,,,,.nio is not recognized as a standard Neo IO format by the current environment. File-level metadata and Neo attempt are recorded.
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-16_181025.pkl,neo_rat-16_181025.pkl,.pkl,213.724,rat-16,rat-16,181025,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,,,,,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-16_181025_lfps.nio,neo_rat-16_181025_lfps.nio,.nio,1305.717,rat-16,rat-16,181025,,lfps,,True,False,nio is not a supported format of any IO.,,,,,,,,,,,,,,,,,.nio is not recognized as a standard Neo IO format by the current environment. File-level metadata and Neo attempt are recorded.
