dataset,session_id,subject_id,recording_system,recording_duration_s,sorted_units_mclust,sorted_unit_spikes_total_mclust,raw_spike_events_total,n_lfp_channels,has_position_metadata,has_sorted_unit_metadata,biological_role
Openfield CA1 continuous spatial foraging,24116_2018-04-20,24116,Axona,1561.0,0,0,15322,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,24116_2018-04-22,24116,Axona,1800.0,0,0,25764,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,24116_2018-04-25,24116,Axona,2073.0,0,0,23627,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,24116_2018-04-26,24116,Axona,1499.0,0,0,18990,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,24116_2018-04-27,24116,Axona,1501.0,0,0,15243,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,24116_2018-04-30,24116,Axona,1702.0,0,0,32411,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,24116_2018-05-02,24116,Axona,1506.0,0,0,18053,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,24116_2018-05-03,24116,Axona,1383.0,0,0,13044,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,24116_2018-05-04,24116,Axona,1321.0,0,0,9022,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-04-29,25398,Axona,1800.0,0,0,471561,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-04-30,25398,Axona,1475.0,0,0,346213,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-05-01,25398,Axona,1441.0,0,0,129195,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-05-02,25398,Axona,1381.0,0,0,541354,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-05-03,25398,Axona,1526.0,6,7824,354682,4,True,True,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-05-06,25398,Axona,1718.0,0,0,348945,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-05-07,25398,Axona,1801.0,0,0,567458,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-05-08,25398,Axona,1800.0,0,0,680267,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-05-09,25398,Axona,1754.0,0,0,588177,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-05-10,25398,Axona,1801.0,0,0,355757,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-05-11,25398,Axona,1800.0,0,0,487682,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-05-14,25398,Axona,1801.0,0,0,1211396,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-05-15,25398,Axona,1801.0,0,0,834801,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-05-16,25398,Axona,1676.0,12,16079,1693132,4,True,True,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-06-21,25398,Axona,1801.0,0,0,691190,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-06-24,25398,Axona,1801.0,5,31356,1777609,4,True,True,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-06-25,25398,Axona,1801.0,2,3152,2094788,4,True,True,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-06-27,25398,Axona,1741.0,0,0,1887752,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-06-28,25398,Axona,1618.0,0,0,788114,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-07-02,25398,Axona,1381.0,6,2070,1144116,4,True,True,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-07-03,25398,Axona,1801.0,9,16780,640425,4,True,True,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-07-04,25398,Axona,1174.0,1,976,220312,4,True,True,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-07-30,25398,Axona,871.0,0,0,272400,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-07-31,25398,Axona,1801.0,2,4377,1497936,4,True,True,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-08-01,25398,Axona,1800.0,0,0,426375,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-08-02,25398,Axona,1801.0,0,0,435530,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-08-07,25398,Axona,1801.0,0,0,474274,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-08-08,25398,Axona,1801.0,0,0,398839,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-08-09,25398,Axona,1397.0,0,0,208740,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-08-13,25398,Axona,1621.0,0,0,248082,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-08-14,25398,Axona,1800.0,0,0,131019,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-08-15,25398,Axona,1518.0,0,0,108856,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-09-03,25398,Axona,1441.0,0,0,200199,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-09-04,25398,Axona,1741.0,0,0,170989,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-09-16,25398,Axona,1801.0,0,0,310735,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-09-17,25398,Axona,1230.0,0,0,187026,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-09-18,25398,Axona,1800.0,0,0,450676,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-09-19,25398,Axona,1800.0,0,0,479797,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-09-20,25398,Axona,1460.0,0,0,357440,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-10-07,25398,Axona,1801.0,0,0,301893,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-10-08,25398,Axona,1801.0,0,0,278080,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-10-09,25398,Axona,1801.0,6,8843,1082774,4,True,True,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-10-10,25398,Axona,1801.0,9,8416,735561,4,True,True,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-10-23,25398,Axona,1507.0,5,6711,341380,4,True,True,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,25398_2019-10-24,25398,Axona,1800.0,0,0,288311,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26019_2020-01-06,26019,Axona,1800.0,0,0,158246,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26019_2020-01-07,26019,Axona,1229.0,0,0,80241,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26019_2020-01-08,26019,Axona,1800.0,0,0,75656,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26019_2020-01-09,26019,Axona,1459.0,0,0,113258,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26019_2020-01-10,26019,Axona,1592.0,0,0,196230,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26019_2020-01-13,26019,Axona,1800.0,0,0,129053,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26019_2020-01-14,26019,Axona,1725.0,0,0,88320,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26019_2020-01-15,26019,Axona,1361.0,0,0,71779,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26019_2020-01-16,26019,Axona,1206.0,0,0,70971,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26019_2020-01-17,26019,Axona,1569.0,0,0,137114,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26019_2020-01-20,26019,Axona,1634.0,0,0,54111,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26019_2020-01-21,26019,Axona,1381.0,0,0,67585,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26019_2020-01-22,26019,Axona,1503.0,0,0,119232,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26019_2020-01-23,26019,Axona,1801.0,0,0,225459,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26019_2020-01-27,26019,Axona,1681.0,0,0,141768,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26019_2020-01-29,26019,Axona,1427.0,0,0,62266,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26019_2020-01-30,26019,Axona,1381.0,0,0,62869,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26191_2020-04-01,26191,Axona,1682.0,0,0,380373,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26191_2020-04-02,26191,Axona,1321.0,0,0,308806,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26191_2020-04-03,26191,Axona,1801.0,0,0,326398,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26191_2020-04-04,26191,Axona,1621.0,0,0,193046,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26191_2020-04-05,26191,Axona,1800.0,0,0,200148,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26191_2020-04-07,26191,Axona,1681.0,0,0,128273,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26191_2020-04-09,26191,Axona,1721.0,0,0,210532,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26191_2020-04-10,26191,Axona,1680.0,0,0,218358,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26191_2020-04-14,26191,Axona,1800.0,0,0,165080,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26191_2020-04-15,26191,Axona,1631.0,0,0,154657,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26191_2020-04-16,26191,Axona,1800.0,0,0,179770,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26191_2020-04-17,26191,Axona,1800.0,0,0,310312,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26191_2020-04-20,26191,Axona,1800.0,0,0,191565,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26191_2020-04-21,26191,Axona,1801.0,0,0,380624,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26191_2020-04-23,26191,Axona,1681.0,0,0,72278,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26191_2020-04-24,26191,Axona,1800.0,0,0,128700,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26191_2020-04-25,26191,Axona,1800.0,0,0,158923,4,True,False,continuous_spatial_reference
Openfield CA1 continuous spatial foraging,26191_2020-04-27,26191,Axona,1801.0,0,0,100340,4,True,False,continuous_spatial_reference
