dataset,session_id,subject_id,analysis,contrast,effect_size_cliffs_delta,p_value,n_group_a,n_group_b,n_trials,status,evidence_level,spearman_r,p_value_bh
TouchAndSee object-memory,Ramachandran_samp29_2012-08-18,Ramachandran,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Ramachandran_samp30_2012-08-20,Ramachandran,memory_vs_normal_trial_activity,memory - normal,0.0,,1.0,4.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Ramachandran_samp30_2012-08-20,Ramachandran,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,3.0,2.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Ramachandran_samp30_2012-08-20,Ramachandran,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Ramachandran_samp31_2012-08-21,Ramachandran,memory_vs_normal_trial_activity,memory - normal,0.0,,1.0,4.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Ramachandran_samp31_2012-08-21,Ramachandran,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,3.0,2.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Ramachandran_samp31_2012-08-21,Ramachandran,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Ramachandran_samp32_2012-08-22,Ramachandran,memory_vs_normal_trial_activity,memory - normal,0.0,,1.0,4.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Ramachandran_samp32_2012-08-22,Ramachandran,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,3.0,2.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Ramachandran_samp32_2012-08-22,Ramachandran,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Ramachandran_samp33_2012-08-22,Ramachandran,memory_vs_normal_trial_activity,memory - normal,0.0,,1.0,4.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Ramachandran_samp33_2012-08-22,Ramachandran,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Ramachandran_samp33_2012-08-22,Ramachandran,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
