session_id,subject_id,context,status,n_units_available,fixed_units,n_repeats_ok,toi_median,toi_mean,toi_std,duration_s_median,n_bins_median,description,curve_mean_distance,curve_initial_distance,curve_final_distance,curve_early_mean,curve_late_mean,curve_late_minus_early,curve_auc,curve_slope_raw,repeat_toi_mean,repeat_toi_median,repeat_toi_std,repeat_toi_q25,repeat_toi_q75,repeat_toi_iqr,ml_label
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,ok,1072,50,50,0.0008933047320404,0.0008900289865944,8.649333249916084e-05,2127.9792166666666,213.0,35 mins; OF; decent coverage; still plugged in from previous session in room 2.408,0.908269050332853,0.7075214417577806,0.958159973878272,0.8118513172913341,0.9567574647421697,0.14490614745083563,0.9122389630967912,0.0009520912385586656,0.0008900289865943802,0.0008933047320404,8.649333249916347e-05,0.000836423920337575,0.0009452780859929501,0.00010885416565537508,open_field
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,ok,720,50,50,0.0007144619905798,0.0007117071713739,8.715300645240351e-05,1524.9870666666668,153.0,open field; object,0.9241280270353839,0.7662359952975979,0.981919449852272,0.8655581156000546,0.9558625213811844,0.09030440578112986,0.926762253585934,0.0006145822359009675,0.0007117071713738881,0.00071446199057975,8.715300645240424e-05,0.0006544342078841,0.0007808639381716501,0.0001264297302875501,object_context
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,ok,239,50,50,0.0006305433829437,0.0006217118738202,0.0001010461970624,881.2417666666666,89.0,open field (motive crashed),0.9251248702867512,0.7935994025133263,0.9431338588863264,0.8852959984559986,0.9625474128933131,0.07725141443731454,0.9281121460544842,0.000528428215418865,0.0006217118738201541,0.00063054338294365,0.00010104619706242281,0.0005479226348495499,0.0006824779530521,0.0001345553182025501,open_field
26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field,ok,546,50,50,0.0011321119257089,0.0011295569614506,0.0001464906055827,747.9950333333331,75.0,open field; party lights,0.9301900450250054,0.7049518253640886,1.0058833193473782,0.8215438412140005,1.002148866748525,0.1806050255345245,0.9341254383233879,0.0011730824361319279,0.00112955696145062,0.0011321119257089,0.0001464906055827951,0.000991436508537225,0.001237368748921125,0.0002459322403839,open_field
26965_2020-Dec-09_12-10-58,26965_Bubinga,object_context,ok,546,50,50,0.0011035523919235,0.0010993151527854,0.0001446046115201,787.9952333333333,79.0,open field; object,0.9263565202364445,0.6876375721597408,0.9976157952643658,0.8213548695832413,0.9996400213692613,0.17828515178602,0.9307633537377282,0.0011414585265557455,0.00109931515278544,0.0011035523919235,0.0001446046115201148,0.0009726664192395999,0.001219232846258825,0.00024656642701922503,object_context
26965_2020-Dec-11_10-58-11,26965_Bubinga,open_field,ok,540,50,50,0.0005513018745665,0.0005784575970621,0.0001243681625971,566.9877833333334,57.0,open field; party lights,0.9881855140583188,0.9066960226804822,1.0709181877875389,0.9287201639791807,1.031895327035495,0.10317516305631425,0.9881527987332822,0.0006196095419744049,0.0005784575970620879,0.0005513018745665001,0.00012436816259711614,0.0005140214192587499,0.00063917532623405,0.00012515390697530012,open_field
26966_2020-Dec-14_15-18-10,26966_Cedar,object_context,ok,462,50,50,0.0012731819315111,0.001256999283402,0.0001436276795493,1027.9944333333335,103.0,open field; novel object,0.942443739967415,0.6625526522938339,1.0353289331154938,0.8101214398541666,1.018846147256983,0.20872470740281635,0.9473649477180862,0.0013676539032588838,0.00125699928340199,0.0012731819315111,0.00014362767954937395,0.001148976755611725,0.001360660758647275,0.00021168400303555007,object_context
26966_2020-Dec-16_11-48-01,26966_Cedar,object_context,ok,530,50,50,0.0009112122102186,0.0009443902989983,0.0001120035470185,907.985,91.0,open field; object,0.9447818200646474,0.7606160199400943,0.9830933099859734,0.8700758687528719,1.002173984910172,0.13209811615730016,0.9486200913857848,0.0008774927294569258,0.0009443902989982739,0.0009112122102186,0.00011200354701853555,0.0008607609358034999,0.001044593128805625,0.000183832193002125,object_context
27284_2021-Jun-15_19-16-52,27284_Douglas,open_field,ok,2289,50,50,0.0009925001099872,0.0009973397435956,9.440156109345656e-05,1256.9785000000002,126.0,"2 OF sessions with short pot break inbetween, some jumping",0.9441366909198964,0.7430920907192962,0.9657943509683622,0.8377195332018313,0.9744999132431896,0.13678038004135828,0.9488573998712684,0.0008714651869564771,0.0009973397435955658,0.0009925001099872,9.440156109345447e-05,0.000942360103163275,0.001051610905558425,0.00010925080239515008,open_field
27284_2021-Jun-16_08-24-12,27284_Douglas,sleep,ok,2536,50,50,0.001232483701246,0.0012290253609496,9.3313072569215e-05,9968.565066666666,997.0,sleep,0.8013556045770164,0.6051423080765715,0.8803764019138722,0.7010694396089614,0.871641216956436,0.17057177734747464,0.8044396177129003,0.0011233034758820165,0.001229025360949602,0.0012324837012460499,9.331307256921873e-05,0.001165238688844925,0.001298349065954825,0.00013311037710990003,sleep
27284_2021-Jun-16_14-33-11,27284_Douglas,open_field,ok,2764,50,50,0.0010952933496731,0.00107150640026,0.0001376203914456,1470.7899333333337,148.0,OF tall walls,0.9437237052098535,0.7238208007021442,0.9969531424658464,0.8603433118412964,0.9994170733903569,0.13907376154906048,0.9481098490848989,0.0009216526964351048,0.00107150640025996,0.0010952933496731002,0.00013762039144565215,0.00098694317047745,0.0011514863325684749,0.00016454316209102491,open_field
27284_2021-Jun-17_15-01-36,27284_Douglas,object_context,ok,1638,50,50,0.001197805900256,0.0011951650724361,0.0001533391609734,1285.9914166666667,129.0,OF and obj,0.9676230724538846,0.6694651551296135,1.056786592752661,0.8400611509162449,1.0364781201592403,0.19641696924299545,0.9731229250071867,0.0012568209233174757,0.001195165072436086,0.001197805900256,0.00015333916097346644,0.001104688678096575,0.00127519803407815,0.00017050935598157506,object_context
27284_2021-Jun-18_11-01-41,27284_Douglas,open_field,ok,1225,50,50,0.0014155952352574,0.0014130393311633,8.419907059080468e-05,1066.9942833333334,107.0,open field and objA of WWW,0.6167244053454267,0.3492137680661836,0.743051986227722,0.47350567950371963,0.7207023312771105,0.24719665177339084,0.62043974893482,0.0016053318999662766,0.0014130393311632661,0.0014155952352574,8.419907059080386e-05,0.001365596397731475,0.00147486611490725,0.00010926971717577488,open_field
27285_2021-Jul-01_08-10-45,27285_Elm,sleep,ok,8699,50,50,0.0008633162501714,0.0008605262107211,0.0002342049679243,8254.951716666666,826.0,"sleep, sequence task",0.5239297054440318,0.3610103252867108,0.6089307760598184,0.44362777482523247,0.5937119531900423,0.15008417836480986,0.5259801872740723,0.000943057782829349,0.0008605262107211299,0.0008633162501713999,0.0002342049679243367,0.000704095679702775,0.001026397386787,0.00032230170708422504,sleep
27285_2021-Jul-01_13-26-22,27285_Elm,open_field,ok,950,50,50,0.000661816236823,0.0006548006533016,0.0001281167284957,612.98085,62.0,"open field, WHAT, and WHERE",1.0035052055320555,0.8604930967727455,1.0197458926734062,0.949447949747736,1.0456234642956947,0.0961755145479587,1.0068412955746333,0.0006269494461087578,0.00065480065330158,0.000661816236823,0.00012811672849578714,0.000542676531251825,0.000755455924482325,0.0002127793932305,open_field
27285_2021-Jul-02_13-23-12,27285_Elm,open_field,ok,867,50,50,0.0008874848811198,0.0008930890586121,0.0001567437427939,601.9749166666667,61.0,"open field, WHEN1",0.9727567214973633,0.7673254963884245,1.049474098872757,0.8693656098912292,1.0094413767003036,0.1400757668090744,0.9761439280166669,0.0009446799992616044,0.0008930890586120959,0.0008874848811198,0.0001567437427939297,0.0007704291817570001,0.000996903306526525,0.00022647412476952495,open_field
27285_2021-Jun-30_13-59-11,27285_Elm,open_field,ok,2213,50,50,0.0015010011062175,0.0014948207268162,0.0001508841454676,1530.2639666666666,154.0,"open field, open field",0.9595034621445493,0.676842119297745,0.9867095652504472,0.8271982545602414,1.0194253470866965,0.1922270925264551,0.9662259684535204,0.0012686068687540223,0.0014948207268161838,0.0015010011062175001,0.00015088414546767363,0.001404568263733225,0.001576051425442675,0.00017148316170944992,open_field
27963_2022-Feb-08_21-14-27,27963_Hemlock,open_field,ok,1887,50,50,0.0008432723391826,0.0008330482394252,0.0001444828061102,1097.5786333333333,110.0,OF,0.9530535675888536,0.7591778597834453,0.9894259598477452,0.8625172211842468,0.9805383113788592,0.11802109019461238,0.957198391682183,0.0008299157445801727,0.000833048239425234,0.0008432723391825999,0.0001444828061102787,0.000741726276513125,0.0009493784102563251,0.00020765213374320012,open_field
27963_2022-Feb-09_08-02-57,27963_Hemlock,sleep,ok,700,50,50,0.0015740424822073,0.0015788945981885,9.659143360425592e-05,6326.527483333333,633.0,sleep,0.8161341866768262,0.5508059458674329,0.9416413398627153,0.6700673731687574,0.9199623792954276,0.24989500612667015,0.819813688982708,0.0016481714936494205,0.0015788945981884918,0.0015740424822073,9.65914336042527e-05,0.0015242902116883,0.001646596302838375,0.0001223060911500751,sleep
