feature,importance
duration_s_median,0.7258958064594395
n_bins_median,0.7256174513961312
curve_initial_distance,0.42450348823503
n_units_available,0.3661963512688302
repeat_toi_std,0.27891625938121045
toi_std,0.2789162593803189
curve_final_distance,0.23747958759248936
curve_late_mean,0.20269447451168143
curve_early_mean,0.19329219416825458
repeat_toi_iqr,0.17803500336095543
curve_auc,0.16740005583413206
repeat_toi_mean,0.16455691185899401
toi_mean,0.16455691185885238
curve_mean_distance,0.15278569141619472
repeat_toi_median,0.09551406246506049
toi_median,0.09551406246505971
curve_late_minus_early,0.03748725448456897
curve_slope_raw,0.01731423656133108
