model,cv,n_samples,n_classes,classes,accuracy,balanced_accuracy,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,permutation_p_value,permutation_null_mean,permutation_null_std
logistic_regression,StratifiedKFold n_splits=5,38,3,object_context;open_field;sleep,0.6842105263157895,0.6944444444444443,0.711111111111111,0.1077262190536962,0.004975124378109453,0.32011111111111107,0.09357369842555673
random_forest,StratifiedKFold n_splits=5,38,3,object_context;open_field;sleep,0.7631578947368421,0.7999999999999999,0.7999999999999999,0.08314794192830981,0.004975124378109453,0.32,0.08627403941246294
