dataset,analysis_family,session_id,subject_id,context,region,recording_system,recording_duration_s,recording_duration_min,sorted_units_mclust,sorted_unit_spikes_total_mclust,raw_spike_events_total,n_lfp_channels,has_position_metadata,has_sorted_unit_metadata,evidence_level
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,24116_2018-05-02,24116,open_field_continuous_foraging,CA1,Axona,1506.0,25.1,0,0,18053,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,24116_2018-05-03,24116,open_field_continuous_foraging,CA1,Axona,1383.0,23.05,0,0,13044,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,24116_2018-05-04,24116,open_field_continuous_foraging,CA1,Axona,1321.0,22.016666666666666,0,0,9022,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-04-29,25398,open_field_continuous_foraging,CA1,Axona,1800.0,30.0,0,0,471561,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-04-30,25398,open_field_continuous_foraging,CA1,Axona,1475.0,24.583333333333332,0,0,346213,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-05-01,25398,open_field_continuous_foraging,CA1,Axona,1441.0,24.016666666666666,0,0,129195,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-05-02,25398,open_field_continuous_foraging,CA1,Axona,1381.0,23.016666666666666,0,0,541354,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-05-03,25398,open_field_continuous_foraging,CA1,Axona,1526.0,25.433333333333334,6,7824,354682,4,True,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-05-06,25398,open_field_continuous_foraging,CA1,Axona,1718.0,28.633333333333333,0,0,348945,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-05-07,25398,open_field_continuous_foraging,CA1,Axona,1801.0,30.016666666666666,0,0,567458,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-05-08,25398,open_field_continuous_foraging,CA1,Axona,1800.0,30.0,0,0,680267,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-05-09,25398,open_field_continuous_foraging,CA1,Axona,1754.0,29.233333333333334,0,0,588177,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-05-10,25398,open_field_continuous_foraging,CA1,Axona,1801.0,30.016666666666666,0,0,355757,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-05-11,25398,open_field_continuous_foraging,CA1,Axona,1800.0,30.0,0,0,487682,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-05-14,25398,open_field_continuous_foraging,CA1,Axona,1801.0,30.016666666666666,0,0,1211396,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-05-15,25398,open_field_continuous_foraging,CA1,Axona,1801.0,30.016666666666666,0,0,834801,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-05-16,25398,open_field_continuous_foraging,CA1,Axona,1676.0,27.933333333333334,12,16079,1693132,4,True,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-06-21,25398,open_field_continuous_foraging,CA1,Axona,1801.0,30.016666666666666,0,0,691190,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-06-24,25398,open_field_continuous_foraging,CA1,Axona,1801.0,30.016666666666666,5,31356,1777609,4,True,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-06-25,25398,open_field_continuous_foraging,CA1,Axona,1801.0,30.016666666666666,2,3152,2094788,4,True,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-06-27,25398,open_field_continuous_foraging,CA1,Axona,1741.0,29.016666666666666,0,0,1887752,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-06-28,25398,open_field_continuous_foraging,CA1,Axona,1618.0,26.966666666666665,0,0,788114,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,25398_2019-07-02,25398,open_field_continuous_foraging,CA1,Axona,1381.0,23.016666666666666,6,2070,1144116,4,True,True,continuous_reference
