dataset_short_name,session_id,subject_id,session_date,behavioral_context,recording_system,brain_region,source_file_or_folder,n_units,n_spikes_total,n_raw_spike_events,recording_duration_s,mean_firing_rate_hz,median_firing_rate_hz,n_trials,n_events_total,n_lfp_channels,n_position_samples,n_electrodes,has_position,source_level,detail_level
openfield_ca1,24116_2018-04-19,24116,2018-04-19,open_field,Axona,CA1,data\24116\2018-04-19,4,0,27883,1560.0,,,0,0,4,0,0,True,session_summary_plus_mclust_units,session_and_units
openfield_ca1,24116_2018-04-20,24116,2018-04-20,open_field,Axona,CA1,data\24116\2018-04-20,4,0,15322,1561.0,,,0,0,4,0,0,True,session_summary_plus_mclust_units,session_and_units
openfield_ca1,24116_2018-04-22,24116,2018-04-22,open_field,Axona,CA1,data\24116\2018-04-22,4,0,25764,1800.0,,,0,0,4,0,0,True,session_summary_plus_mclust_units,session_and_units
openfield_ca1,24116_2018-04-25,24116,2018-04-25,open_field,Axona,CA1,data\24116\2018-04-25,4,0,23627,2073.0,,,0,0,4,0,0,True,session_summary_plus_mclust_units,session_and_units
openfield_ca1,24116_2018-04-26,24116,2018-04-26,open_field,Axona,CA1,data\24116\2018-04-26,4,0,18990,1499.0,,,0,0,4,0,0,True,session_summary_plus_mclust_units,session_and_units
openfield_ca1,24116_2018-04-27,24116,2018-04-27,open_field,Axona,CA1,data\24116\2018-04-27,4,0,15243,1501.0,,,0,0,4,0,0,True,session_summary_plus_mclust_units,session_and_units
openfield_ca1,24116_2018-04-30,24116,2018-04-30,open_field,Axona,CA1,data\24116\2018-04-30,4,0,32411,1702.0,,,0,0,4,0,0,True,session_summary_plus_mclust_units,session_and_units
openfield_ca1,24116_2018-05-02,24116,2018-05-02,open_field,Axona,CA1,data\24116\2018-05-02,4,0,18053,1506.0,,,0,0,4,0,0,True,session_summary_plus_mclust_units,session_and_units
openfield_ca1,24116_2018-05-03,24116,2018-05-03,open_field,Axona,CA1,data\24116\2018-05-03,4,0,13044,1383.0,,,0,0,4,0,0,True,session_summary_plus_mclust_units,session_and_units
openfield_ca1,24116_2018-05-04,24116,2018-05-04,open_field,Axona,CA1,data\24116\2018-05-04,4,0,9022,1321.0,,,0,0,4,0,0,True,session_summary_plus_mclust_units,session_and_units
