dataset_short_name,session_id,subject_id,session_date,behavioral_context,recording_system,brain_region,source_file_or_folder,n_units,n_spikes_total,n_raw_spike_events,recording_duration_s,mean_firing_rate_hz,median_firing_rate_hz,n_trials,n_events_total,n_lfp_channels,n_position_samples,n_electrodes,has_position,source_level,detail_level,raw_session_description,spikes_per_unit,spikes_per_trial,events_per_trial,units_per_trial,mean_firing_rate_hz_filled,has_units,has_spikes,has_trials,has_events,has_lfp,has_duration,has_firing_rate,biological_table_completeness_score
openfield_ca1,24101_2018-05-04,24101,2018-05-04,open_field,Neuralynx,CA1,data\24101\2018-05-04,14,8563.0,1049325.0,10755.0,0.05687055854419871,,0,0,14,0.0,12.0,False,session_summary_plus_mclust_units,session_and_units,,611.6428571428571,,,,0.05687055854419871,True,True,False,False,True,True,True,0.6666666666666666
openfield_ca1,24101_2018-05-07,24101,2018-05-07,open_field,Neuralynx,CA1,data\24101\2018-05-07,8,5271.0,939766.0,3898.0,0.1690289892252437,,0,0,14,0.0,12.0,False,session_summary_plus_mclust_units,session_and_units,,658.875,,,,0.1690289892252437,True,True,False,False,True,True,True,0.6666666666666666
openfield_ca1,24101_2018-05-08,24101,2018-05-08,open_field,Neuralynx,CA1,data\24101\2018-05-08,12,26735.0,869684.0,1777.0,1.2537516413430876,,0,0,14,0.0,12.0,False,session_summary_plus_mclust_units,session_and_units,,2227.9166666666665,,,,1.2537516413430876,True,True,False,False,True,True,True,0.6666666666666666
openfield_ca1,24116_2018-04-03,24116,2018-04-03,open_field,Axona,CA1,data\24116\2018-04-03,8,8230.0,66406.0,1201.0,0.8565778517901749,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,1028.75,,,,0.8565778517901749,True,True,False,False,True,True,True,0.6666666666666666
openfield_ca1,24116_2018-04-05,24116,2018-04-05,open_field,Axona,CA1,data\24116\2018-04-05,7,4206.0,49144.0,1201.0,0.5002973712382539,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,600.8571428571429,,,,0.5002973712382539,True,True,False,False,True,True,True,0.6666666666666666
openfield_ca1,24116_2018-04-06,24116,2018-04-06,open_field,Axona,CA1,data\24116\2018-04-06,11,12870.0,61825.0,1800.0,0.65,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,1170.0,,,,0.65,True,True,False,False,True,True,True,0.6666666666666666
openfield_ca1,24116_2018-04-19,24116,2018-04-19,open_field,Axona,CA1,data\24116\2018-04-19,4,0.0,27883.0,1560.0,,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,0.0,,,,0.0,True,False,False,False,True,True,True,0.5
openfield_ca1,24116_2018-04-20,24116,2018-04-20,open_field,Axona,CA1,data\24116\2018-04-20,4,0.0,15322.0,1561.0,,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,0.0,,,,0.0,True,False,False,False,True,True,True,0.5
openfield_ca1,24116_2018-04-22,24116,2018-04-22,open_field,Axona,CA1,data\24116\2018-04-22,4,0.0,25764.0,1800.0,,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,0.0,,,,0.0,True,False,False,False,True,True,True,0.5
openfield_ca1,24116_2018-04-25,24116,2018-04-25,open_field,Axona,CA1,data\24116\2018-04-25,4,0.0,23627.0,2073.0,,,0,0,4,0.0,0.0,True,session_summary_plus_mclust_units,session_and_units,,0.0,,,,0.0,True,False,False,False,True,True,True,0.5
