dataset_short_name,session_id,subject_id,session_date,behavioral_context,raw_session_description,recording_system,brain_region,source_file_or_folder,n_units,n_spikes_total,n_raw_spike_events,recording_duration_s,mean_firing_rate_hz,median_firing_rate_hz,n_trials,n_events_total,n_lfp_channels,n_position_samples,n_electrodes,has_position,source_level,detail_level
nwb_ca1,27285_2021-Jul-02_13-23-12,27285_Elm,2021-07-02,open_field,"open field, WHEN1",NWB / Neuropixels,LEC; HP - CA3; MEC - Layer 2,data\27285\27285_2021-Jul-02_13-23-12.nwb,875,,,,,,0,1,0,,1152,True,nwb_session_summary,session_only
nwb_ca1,27285_2021-Jun-30_10-03-39,27285_Elm,2021-06-30,sequence_task,sequence task,NWB / Neuropixels,LEC; HP - CA3; MEC - Layer 2,data\27285\27285_2021-Jun-30_10-03-39.nwb,9578,,,,,,0,3,0,,1152,True,nwb_session_summary,session_only
nwb_ca1,27285_2021-Jun-30_13-05-14,27285_Elm,2021-06-30,sequence_task,sequence task,NWB / Neuropixels,LEC; HP - CA3; MEC - Layer 2,data\27285\27285_2021-Jun-30_13-05-14.nwb,9578,,,,,,0,3,0,,1152,True,nwb_session_summary,session_only
nwb_ca1,27285_2021-Jun-30_13-59-11,27285_Elm,2021-06-30,open_field,"open field, open field",NWB / Neuropixels,LEC; HP - CA3; MEC - Layer 2,data\27285\27285_2021-Jun-30_13-59-11.nwb,2253,,,,,,0,1,0,,1152,True,nwb_session_summary,session_only
nwb_ca1,27963_2022-Feb-08_21-14-27,27963_Hemlock,2022-02-08,open_field,OF,NWB / Neuropixels,LEC; HP - CA1; MEC - Layer 2,data\27963\27963_2022-Feb-08_21-14-27.nwb,1890,,,,,,0,1,0,,1152,True,nwb_session_summary,session_only
nwb_ca1,27963_2022-Feb-09_08-02-57,27963_Hemlock,2022-02-09,sleep,sleep,NWB / Neuropixels,LEC; HP - CA1; MEC - Layer 2,data\27963\27963_2022-Feb-09_08-02-57.nwb,2312,,,,,,0,1,0,,1152,True,nwb_session_summary,session_only
nwb_ca1,27963_2022-Feb-10_11-06-56,27963_Hemlock,2022-02-10,open_field_object,"OF, obj, obj, obj",NWB / Neuropixels,LEC; HP - CA1; MEC - Layer 2,data\27963\27963_2022-Feb-10_11-06-56.nwb,1357,,,,,,0,1,0,,1152,True,nwb_session_summary,session_only
nwb_ca1,27963_2022-Feb-10_14-07-47,27963_Hemlock,2022-02-10,open_field_object,"OF, obj, obj, obj",NWB / Neuropixels,LEC; HP - CA1; MEC - Layer 2,data\27963\27963_2022-Feb-10_14-07-47.nwb,1288,,,,,,0,1,0,,1152,True,nwb_session_summary,session_only
nwb_ca1,27963_2022-Feb-11_14-58-41,27963_Hemlock,2022-02-11,open_field,OF,NWB / Neuropixels,LEC; HP - CA1; MEC - Layer 2,data\27963\27963_2022-Feb-11_14-58-41.nwb,1033,,,,,,0,1,0,,1152,True,nwb_session_summary,session_only
nwb_ca1,28003_2022-Mar-07_20-44-03,28003_Ironwood,2022-03-07,other,"OF, LEC was likely deep layers",NWB / Neuropixels,LEC; HP - CA1; MEC - Layer 2,data\28003\28003_2022-Mar-07_20-44-03.nwb,895,,,,,,0,1,0,,1152,True,nwb_session_summary,session_only
