feature,PC1_loading,PC2_loading,abs_PC1_loading,abs_PC2_loading,max_abs_loading
log_spikes_per_unit,0.2141391158034593,0.44663400919923013,0.2141391158034593,0.44663400919923013,0.44663400919923013
log_n_spikes_total,0.2182935049972486,0.44064607339144196,0.2182935049972486,0.44064607339144196,0.44064607339144196
log_events_per_trial,0.413913016730564,-0.12010204626361295,0.413913016730564,0.12010204626361295,0.413913016730564
log_n_events_total,0.396572022530969,-0.23473622435185484,0.396572022530969,0.23473622435185484,0.396572022530969
log_recording_duration_s,-0.12301059956125407,0.3933537272500446,0.12301059956125407,0.3933537272500446,0.3933537272500446
log_n_trials,0.3740081890122725,-0.2601729305665456,0.3740081890122725,0.2601729305665456,0.3740081890122725
log_mean_firing_rate_hz_filled,0.27111575705926544,0.3644867048360716,0.27111575705926544,0.3644867048360716,0.3644867048360716
log_n_units,0.15669199637851197,-0.3626722022621635,0.15669199637851197,0.3626722022621635,0.3626722022621635
log_n_lfp_channels,0.3618007778524555,-0.09445319211315573,0.3618007778524555,0.09445319211315573,0.3618007778524555
log_biological_table_completeness_score,0.31688015908514877,0.1312915967261776,0.31688015908514877,0.1312915967261776,0.31688015908514877
log_spikes_per_trial,0.30580438796982085,0.1544856678897693,0.30580438796982085,0.1544856678897693,0.30580438796982085
