dataset,session_id,subject_id,trial_number,trial_outcome,trial_side,trial_type,n_spikes_total,n_spiketrains,mean_spikes_per_spiketrain,n_events,n_event_times_total,record_level,activity
TouchAndSee object-memory,Ramachandran_samp27_2012-08-16,Ramachandran,5.0,correct,right,normal,0.0,47.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp28_2012-08-17,Ramachandran,1.0,incorrect,right,normal,0.0,100.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp28_2012-08-17,Ramachandran,3.0,correct,right,normal,0.0,100.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp28_2012-08-17,Ramachandran,4.0,incorrect,right,normal,0.0,100.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp28_2012-08-17,Ramachandran,5.0,correct,left,normal,0.0,100.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp28_2012-08-17,Ramachandran,6.0,correct,right,normal,0.0,100.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp29_2012-08-18,Ramachandran,3.0,correct,left,normal,0.0,69.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp29_2012-08-18,Ramachandran,4.0,correct,right,normal,0.0,69.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp29_2012-08-18,Ramachandran,5.0,correct,left,normal,0.0,69.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp29_2012-08-18,Ramachandran,7.0,correct,left,normal,0.0,69.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp29_2012-08-18,Ramachandran,8.0,incorrect,right,memory,0.0,69.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp30_2012-08-20,Ramachandran,1.0,correct,right,normal,0.0,63.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp30_2012-08-20,Ramachandran,2.0,incorrect,left,memory,0.0,63.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp30_2012-08-20,Ramachandran,3.0,correct,right,normal,0.0,63.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp30_2012-08-20,Ramachandran,5.0,incorrect,right,normal,0.0,63.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp30_2012-08-20,Ramachandran,6.0,correct,left,normal,0.0,63.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp31_2012-08-21,Ramachandran,1.0,incorrect,left,normal,0.0,48.0,0.0,1.0,6.0,preview,0.0
