dataset,session_id,subject_id,trial_number,trial_outcome,trial_side,trial_type,n_spikes_total,n_spiketrains,mean_spikes_per_spiketrain,n_events,n_event_times_total,record_level,activity
TouchAndSee object-memory,Turing_samp36_2012-09-15,Turing,8.0,incorrect,right,normal,0.0,20.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp37_2012-09-16,Turing,3.0,correct,right,normal,0.0,10.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp37_2012-09-16,Turing,4.0,incorrect,left,normal,0.0,10.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp37_2012-09-16,Turing,5.0,correct,right,memory,0.0,10.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp37_2012-09-16,Turing,6.0,incorrect,right,normal,0.0,10.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp37_2012-09-16,Turing,7.0,incorrect,left,normal,0.0,10.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp38_2012-09-17,Turing,2.0,incorrect,left,normal,0.0,18.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp38_2012-09-17,Turing,3.0,correct,right,memory,0.0,18.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp38_2012-09-17,Turing,4.0,correct,left,normal,0.0,18.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp38_2012-09-17,Turing,5.0,incorrect,right,normal,0.0,18.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp38_2012-09-17,Turing,6.0,correct,left,memory,0.0,18.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp39_2012-09-18,Turing,1.0,incorrect,left,normal,0.0,10.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp39_2012-09-18,Turing,2.0,correct,right,normal,0.0,10.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp39_2012-09-18,Turing,3.0,correct,right,normal,0.0,10.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp39_2012-09-18,Turing,4.0,correct,left,normal,0.0,10.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp39_2012-09-18,Turing,5.0,incorrect,right,normal,0.0,10.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp40_2012-09-19,Turing,2.0,correct,left,memory,0.0,15.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp40_2012-09-19,Turing,4.0,incorrect,left,normal,0.0,15.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp40_2012-09-19,Turing,5.0,incorrect,left,normal,0.0,15.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp40_2012-09-19,Turing,6.0,correct,right,normal,0.0,15.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp40_2012-09-19,Turing,7.0,incorrect,right,normal,0.0,15.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp41_2012-09-19,Turing,3.0,incorrect,right,normal,0.0,9.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp41_2012-09-19,Turing,4.0,incorrect,left,normal,0.0,9.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp41_2012-09-19,Turing,5.0,correct,right,memory,0.0,9.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp41_2012-09-19,Turing,6.0,correct,left,normal,0.0,9.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp41_2012-09-19,Turing,8.0,correct,left,normal,0.0,9.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp42_2012-09-20,Turing,2.0,incorrect,right,normal,0.0,14.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp42_2012-09-20,Turing,3.0,correct,right,normal,0.0,14.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp42_2012-09-20,Turing,4.0,incorrect,right,normal,0.0,14.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp42_2012-09-20,Turing,5.0,incorrect,left,normal,0.0,14.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp42_2012-09-20,Turing,6.0,correct,right,memory,0.0,14.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp43_2012-09-21,Turing,2.0,correct,left,normal,0.0,19.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp43_2012-09-21,Turing,3.0,correct,right,normal,0.0,19.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp43_2012-09-21,Turing,4.0,incorrect,left,normal,0.0,19.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp43_2012-09-21,Turing,5.0,incorrect,right,memory,0.0,19.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp43_2012-09-21,Turing,6.0,incorrect,right,normal,0.0,19.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp44_2012-09-22,Turing,1.0,incorrect,left,normal,0.0,18.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp44_2012-09-22,Turing,2.0,correct,right,normal,0.0,18.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp44_2012-09-22,Turing,3.0,incorrect,right,normal,0.0,18.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp44_2012-09-22,Turing,4.0,incorrect,left,normal,0.0,18.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp44_2012-09-22,Turing,5.0,incorrect,right,normal,0.0,18.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp45_2012-09-25,Turing,1.0,correct,right,normal,0.0,18.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp45_2012-09-25,Turing,2.0,correct,left,memory,0.0,18.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp45_2012-09-25,Turing,3.0,correct,right,normal,0.0,18.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp45_2012-09-25,Turing,4.0,correct,left,memory,0.0,18.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp45_2012-09-25,Turing,5.0,correct,left,normal,0.0,18.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp46_2012-09-26,Turing,1.0,correct,right,normal,0.0,7.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp46_2012-09-26,Turing,2.0,correct,left,normal,0.0,7.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp46_2012-09-26,Turing,3.0,correct,right,normal,0.0,7.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp46_2012-09-26,Turing,5.0,incorrect,right,normal,0.0,7.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp46_2012-09-26,Turing,6.0,incorrect,right,memory,0.0,7.0,0.0,1.0,6.0,preview,0.0
