dataset_short_name,session_id,subject_id,metadata_profile_label,recommended_analysis_type,recording_profile_group,cluster,pca_1,pca_2
openfield_ca1,25398_2019-05-11,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.3476313619774247,-0.17188133249773216
openfield_ca1,25398_2019-05-14,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.5085698972026167,-0.14092389934809088
openfield_ca1,25398_2019-05-15,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.4426497092036334,-0.1535769297408683
openfield_ca1,25398_2019-05-16,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.6794772840719565,-0.21633871945942632
openfield_ca1,25398_2019-06-21,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.4092275179428975,-0.15999217043164035
openfield_ca1,25398_2019-06-24,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.550403400934351,-0.01986095568766118
openfield_ca1,25398_2019-06-25,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.6799975231281885,0.24984408595777347
openfield_ca1,25398_2019-06-27,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.59630159611006,-0.1281561344034666
openfield_ca1,25398_2019-06-28,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.462730881905651,-0.1629274605021531
openfield_ca1,25398_2019-07-02,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.53383655902138,-0.09581280137427145
openfield_ca1,25398_2019-07-03,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.41328612644856,-0.18714546654841943
openfield_ca1,25398_2019-07-04,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.419450697797293,0.3996656757713427
openfield_ca1,25398_2019-07-30,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.5271423013157794,-0.2480556728545323
openfield_ca1,25398_2019-07-31,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.6206224386084958,0.23844741212153686
openfield_ca1,25398_2019-08-01,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.323846774259595,-0.17644673363649246
openfield_ca1,25398_2019-08-02,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.3274600346627365,-0.17568718802981162
openfield_ca1,25398_2019-08-07,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.3425478248653913,-0.1727911184075235
openfield_ca1,25398_2019-08-08,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.311879349956073,-0.17867787599486754
openfield_ca1,25398_2019-08-09,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.2749574358075653,-0.21869292773427904
openfield_ca1,25398_2019-08-13,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.2575373876936404,-0.20207731871488607
openfield_ca1,25398_2019-08-14,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.114948530217524,-0.2165455812946411
openfield_ca1,25398_2019-08-15,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.1319979685898485,-0.23474180248156437
openfield_ca1,25398_2019-09-03,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.2569497227270428,-0.21782247133723107
openfield_ca1,25398_2019-09-04,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.1711273828180855,-0.20976734890366375
openfield_ca1,25398_2019-09-16,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.2676870271991376,-0.1871605757525601
openfield_ca1,25398_2019-09-17,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.3025725417299827,-0.23211129247104043
openfield_ca1,25398_2019-09-18,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.333660100461517,-0.17456308422358405
openfield_ca1,25398_2019-09-19,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.344745490801745,-0.17243526836625342
openfield_ca1,25398_2019-09-20,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.3551865514609642,-0.19716472812882965
openfield_ca1,25398_2019-10-07,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.262576295239993,-0.18814158451959503
openfield_ca1,25398_2019-10-08,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.248030126983292,-0.1909337395047863
openfield_ca1,25398_2019-10-09,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.4649736749468807,-0.0806498363419744
openfield_ca1,25398_2019-10-10,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.4378069645076486,-0.18243879355729684
openfield_ca1,25398_2019-10-23,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.2877267230916964,-0.08653927681076659
openfield_ca1,25398_2019-10-24,25398,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.25457457669421,-0.18974350974638846
openfield_ca1,26019_2020-01-06,26019,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.1483731429662876,-0.21012937364536102
openfield_ca1,26019_2020-01-07,26019,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.1530856818273167,-0.2609308588389402
openfield_ca1,26019_2020-01-08,26019,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.0177384421619218,-0.23520691811623393
openfield_ca1,26019_2020-01-09,26019,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.151947208336162,-0.23627094025342169
openfield_ca1,26019_2020-01-10,26019,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.2214682381698676,-0.21131879472041679
openfield_ca1,26019_2020-01-13,26019,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.1122720234885253,-0.2170593702918789
openfield_ca1,26019_2020-01-14,26019,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.0567427155237987,-0.23285096295399307
openfield_ca1,26019_2020-01-15,26019,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.095167185284667,-0.2569176326541441
openfield_ca1,26019_2020-01-16,26019,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.1388349356624325,-0.26658015878936636
openfield_ca1,26019_2020-01-17,26019,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.162468254138969,-0.2245334411682212
openfield_ca1,26019_2020-01-20,26019,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,2.9856039740873084,-0.2532622407492086
openfield_ca1,26019_2020-01-21,26019,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.079346929107892,-0.2578723251033823
openfield_ca1,26019_2020-01-22,26019,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.1513061189126668,-0.23236443807619686
openfield_ca1,26019_2020-01-23,26019,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.2108929503016053,-0.19806232085578238
openfield_ca1,26019_2020-01-27,26019,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.147831706917097,-0.21855415177823848
openfield_ca1,26019_2020-01-29,26019,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.053506571521677,-0.2582283937050331
openfield_ca1,26019_2020-01-30,26019,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.06654296561153,-0.26033032514081544
openfield_ca1,26191_2020-04-01,26191,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.322389017290631,-0.18497330927432473
openfield_ca1,26191_2020-04-02,26191,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.3642659481543564,-0.20958326114274892
openfield_ca1,26191_2020-04-03,26191,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.276393303769517,-0.1854894024440996
openfield_ca1,26191_2020-04-04,26191,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.2131311513248817,-0.21060122111948595
openfield_ca1,26191_2020-04-05,26191,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.189959261602747,-0.202146625376079
openfield_ca1,26191_2020-04-07,26191,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.130123293487086,-0.22195346371675093
openfield_ca1,26191_2020-04-09,26191,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.2111710669681366,-0.20349095491620442
openfield_ca1,26191_2020-04-10,26191,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.2244711312790257,-0.2039168526856325
openfield_ca1,26191_2020-04-14,26191,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.1558579236120754,-0.20869260621646998
openfield_ca1,26191_2020-04-15,26191,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.172049439580404,-0.21770385590004313
openfield_ca1,26191_2020-04-16,26191,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.170949583768404,-0.2057956487636646
openfield_ca1,26191_2020-04-17,26191,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.2675937511427304,-0.18724446694760397
openfield_ca1,26191_2020-04-20,26191,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.182199867649276,-0.2036360848289824
openfield_ca1,26191_2020-04-21,26191,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.303603423510842,-0.18026643076132418
openfield_ca1,26191_2020-04-23,26191,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.0285766995810035,-0.24144715264631236
openfield_ca1,26191_2020-04-24,26191,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.111787136036798,-0.2171524506018395
openfield_ca1,26191_2020-04-25,26191,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.149128892455074,-0.20998430085240968
openfield_ca1,26191_2020-04-27,26191,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,0,3.067574438249841,-0.22557377828950623
nwb_ca1,26863_2020-Nov-04_12-46-06,26863_Ash,spike+behavior reusable profile,spike-behavior analysis,spike_behavior,2,-2.7517606886719697,-3.516692322993766
