contrast,group_a,group_b,median_a,median_b,cliffs_delta_a_minus_b,p_value,n_a,n_b,p_value_bh
object_context vs open_field,object_context,open_field,0.00130725721997173,0.0009411753167779609,0.5555555555555556,0.010121802247772722,15,15,0.044117647058823525
object_context vs sequence_task,object_context,sequence_task,0.00130725721997173,0.0016299637595262994,-0.4666666666666667,0.36764705882352944,15,2,0.44117647058823534
object_context vs sleep,object_context,sleep,0.00130725721997173,0.0012128569310001667,0.18333333333333332,0.5062633332925431,15,8,0.5062633332925431
open_field vs sequence_task,open_field,sequence_task,0.0009411753167779609,0.0016299637595262994,-1.0,0.014705882352941176,15,2,0.044117647058823525
open_field vs sleep,open_field,sleep,0.0009411753167779609,0.0012128569310001667,-0.5,0.05558070950452159,15,8,0.08337106425678238
sequence_task vs sleep,sequence_task,sleep,0.0016299637595262994,0.0012128569310001667,1.0,0.044444444444444446,2,8,0.08337106425678238
