session_id,subject_id,context,repeat,toi,n_units_used,n_bins,duration_s,bin_size_s,fixed_units
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,0,0.0009520912385586677,50,213,2127.9859333333334,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,1,0.0008493356087403432,50,213,2127.9933666666666,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,2,0.0008754572092417536,50,213,2127.9759333333336,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,3,0.000875532393142962,50,213,2127.967,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,4,0.0009047440548201289,50,213,2127.9935333333337,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,5,0.0007853230537807623,50,213,2127.9945666666667,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,6,0.0009770108577335439,50,213,2127.985533333333,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,7,0.0007346399974479816,50,213,2127.930733333333,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,8,0.0009263322324478962,50,213,2127.9849999999997,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,9,0.0008909962533584463,50,213,2127.9532999999997,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,10,0.0009945437624228374,50,213,2127.983566666667,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,11,0.0008500534885489457,50,213,2127.9448333333335,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,12,0.0008434745500661192,50,213,2127.9851333333336,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,13,0.0007387043849740812,50,213,2127.9746999999998,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,14,0.0009079478629880601,50,213,2127.9883333333337,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,15,0.0009590053772899251,50,213,2127.9700000000003,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,16,0.000914362693793658,50,213,2127.9738,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,17,0.0010724401939268878,50,213,2127.9673333333335,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,18,0.0009001522635456346,50,213,2127.9609333333333,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,19,0.000904061984988835,50,213,2127.9688,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,20,0.0009082062169860393,50,213,2127.9685666666664,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,21,0.0008028898515027574,50,213,2127.9782,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,22,0.0008769597678351635,50,213,2127.987466666667,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,23,0.0010578895410384042,50,213,2127.9692,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,24,0.0009513567583534458,50,213,2127.9915333333333,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,25,0.0008365410308356365,50,213,2127.981,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,26,0.0008518391938478611,50,213,2127.980233333333,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,27,0.0008363848835049255,50,213,2127.9637000000002,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,28,0.0007606059069534558,50,213,2127.9746666666665,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,29,0.000977438949824853,50,213,2127.9766666666665,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,30,0.0009609148148812591,50,213,2127.9742666666666,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,31,0.001079531343469032,50,213,2127.9876000000004,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,32,0.0008487526214888589,50,213,2127.9767666666667,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,33,0.0009270420689116569,50,213,2127.930533333333,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,34,0.0009651771034533082,50,213,2127.9891333333335,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,35,0.0009085981452463291,50,213,2127.9825,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,36,0.0009120781756021563,50,213,2127.9877333333334,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,37,0.0008265019511626561,50,213,2127.9742333333334,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,38,0.0008598732431318155,50,213,2127.982066666667,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,39,0.0008019752478892477,50,213,2127.9821333333334,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,40,0.0010779837195133552,50,213,2127.9848,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,41,0.0008553946124698194,50,213,2127.9877,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,42,0.000770415069963299,50,213,2127.9686666666666,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,43,0.0008173450067784361,50,213,2127.949466666667,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,44,0.0007447345840798674,50,213,2127.9719,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,45,0.0008109504792127355,50,213,2127.9807333333333,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,46,0.0009006114556692973,50,213,2127.971666666667,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,47,0.0007929468962228266,50,213,2127.9872,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,48,0.0008956132107224366,50,213,2127.9817000000003,10.0,50
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,49,0.0010286880173530997,50,213,2127.9863,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,0,0.0006145822359009675,50,153,1524.9922000000001,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,1,0.0006638749624031161,50,153,1524.9816666666666,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,2,0.000541976926903438,50,153,1524.9583666666667,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,3,0.0007978068336591504,50,153,1524.9877666666669,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,4,0.0005974641403492364,50,153,1524.9948,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,5,0.0007702147624894395,50,153,1524.9812,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,6,0.0007870637518972679,50,153,1524.9763333333335,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,7,0.0007996350258986836,50,153,1524.9702666666667,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,8,0.0007850517872956609,50,153,1524.9748666666667,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,9,0.0008606804531683113,50,153,1524.9877666666666,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,10,0.0007818864603705394,50,153,1524.9929333333334,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,11,0.0007534731062828086,50,153,1524.9908333333333,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,12,0.000580339879544003,50,153,1524.9913999999999,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,13,0.000663832905239397,50,153,1524.9931,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,14,0.0006758363708790132,50,153,1524.9744666666668,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,15,0.0008715488623948139,50,153,1524.9752333333333,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,16,0.000629752706720967,50,153,1524.9981,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,17,0.0006016812749473435,50,153,1524.9855333333335,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,18,0.0006330486679355676,50,153,1524.9900666666667,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,19,0.0007217040798930444,50,153,1524.9952333333333,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,20,0.0009013637037305755,50,153,1524.9762666666666,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,21,0.0007042357063601495,50,153,1524.9900666666667,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,22,0.0004930125888643104,50,153,1524.9832,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,23,0.0006880742835408856,50,153,1524.9890333333333,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,24,0.0006956474517392525,50,153,1524.9981666666667,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,25,0.0006122473034144511,50,153,1524.9885333333334,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,26,0.0008391957592715314,50,153,1524.9916666666666,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,27,0.0007159987143175161,50,153,1524.9949666666666,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,28,0.0006836677204515517,50,153,1524.9870666666668,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,29,0.0007307639941279098,50,153,1524.9778333333334,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,30,0.0007777963715751521,50,153,1524.9652333333333,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,31,0.0008403753951765172,50,153,1524.9867000000002,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,32,0.0006916969458114709,50,153,1524.9933,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,33,0.0007867003684017299,50,153,1524.9855666666667,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,34,0.0006622663203793379,50,153,1524.9883000000002,10.0,50
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,35,0.0007462327733296256,50,153,1524.9756666666667,10.0,50
