lag_index,lag_value_s,mean_distance,median_distance,n_pairs,session_id,subject_id,context
10,100.0,0.8784075269169248,0.8664239544534613,79,26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field
11,110.0,0.9225170224679746,0.9144104468466228,78,26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field
12,120.0,0.9317373352253718,0.9317428564108288,77,26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field
13,130.0,0.9087048169183228,0.9333978819020621,76,26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field
14,140.0,0.9737751691568299,1.0128094494727,75,26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field
15,150.0,0.9664290817745453,0.9711203806265308,74,26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field
16,160.0,0.9960015350735099,1.0201886641544662,73,26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field
17,170.0,0.9721628161102625,0.973328602048919,72,26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field
18,180.0,0.9439662425608165,0.9377092520277333,71,26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field
19,190.0,0.9574726118356507,0.9277347327087286,70,26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field
20,200.0,0.9431338588863265,0.9798390122837783,69,26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field
1,10.0,0.7049518253640886,0.706703503022022,74,26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field
2,20.0,0.8052211211559046,0.7974480720904057,73,26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field
3,30.0,0.8215984726577483,0.8437436236693048,72,26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field
4,40.0,0.8788792291398111,0.8985266152182501,71,26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field
5,50.0,0.8970685577524495,0.8987068101213193,70,26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field
6,60.0,0.8939028436918738,0.8989959123221423,69,26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field
7,70.0,0.9268524610220984,0.945620867679982,68,26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field
8,80.0,0.9395919768684019,0.9535608662794497,67,26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field
9,90.0,0.9486830237245671,0.9801492552159536,66,26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field
10,100.0,0.9427197367253867,0.9422955864790253,65,26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field
11,110.0,0.9666107138836896,0.979296304462203,64,26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field
12,120.0,0.9750496063790987,0.9582995050303103,63,26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field
13,130.0,0.9563332383525052,0.9631875916346666,62,26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field
14,140.0,0.9826771745569245,0.9872674195130481,61,26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field
15,150.0,0.9529165854829311,0.944485222559637,60,26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field
16,160.0,0.9874468810338992,0.9682548533648067,59,26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field
17,170.0,1.017890529045247,1.0273687778606637,58,26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field
18,180.0,1.0023846336286375,1.014411256967933,57,26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field
19,190.0,0.9971389706874644,1.0146474518593784,56,26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field
20,200.0,1.0058833193473782,1.0274048304976815,55,26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field
1,10.0,0.6876375721597408,0.7038141595990581,78,26965_2020-Dec-09_12-10-58,26965_Bubinga,object_context
2,20.0,0.8204126554942411,0.78602711045505,77,26965_2020-Dec-09_12-10-58,26965_Bubinga,object_context
3,30.0,0.8291281540045355,0.8325520346602765,76,26965_2020-Dec-09_12-10-58,26965_Bubinga,object_context
4,40.0,0.871562962090491,0.8481630865805181,75,26965_2020-Dec-09_12-10-58,26965_Bubinga,object_context
5,50.0,0.8980330041671978,0.8878793689798323,74,26965_2020-Dec-09_12-10-58,26965_Bubinga,object_context
6,60.0,0.8848373070327248,0.8967457727162017,73,26965_2020-Dec-09_12-10-58,26965_Bubinga,object_context
7,70.0,0.9356455284863087,0.9393554772743271,72,26965_2020-Dec-09_12-10-58,26965_Bubinga,object_context
8,80.0,0.9432896512013814,0.947032206645235,71,26965_2020-Dec-09_12-10-58,26965_Bubinga,object_context
9,90.0,0.9232609178871051,0.9231266028856999,70,26965_2020-Dec-09_12-10-58,26965_Bubinga,object_context
10,100.0,0.9541064807185412,0.971711191448103,69,26965_2020-Dec-09_12-10-58,26965_Bubinga,object_context
11,110.0,0.9601264276781171,0.9731700935086635,68,26965_2020-Dec-09_12-10-58,26965_Bubinga,object_context
12,120.0,0.9652957686157714,0.9510711307688536,67,26965_2020-Dec-09_12-10-58,26965_Bubinga,object_context
13,130.0,0.9560753268294286,0.924601239638587,66,26965_2020-Dec-09_12-10-58,26965_Bubinga,object_context
14,140.0,0.9520457226547705,0.9426835503022082,65,26965_2020-Dec-09_12-10-58,26965_Bubinga,object_context
15,150.0,0.9474728188622263,0.9311821174123318,64,26965_2020-Dec-09_12-10-58,26965_Bubinga,object_context
16,160.0,0.9879439089627681,0.9842596530414646,63,26965_2020-Dec-09_12-10-58,26965_Bubinga,object_context
17,170.0,1.0134522389915257,0.9964699894194127,62,26965_2020-Dec-09_12-10-58,26965_Bubinga,object_context
18,180.0,1.009301779695774,1.0056304514046843,61,26965_2020-Dec-09_12-10-58,26965_Bubinga,object_context
