session_id,subject_id,context,status,n_units_available,fixed_units,n_repeats_ok,toi_median,toi_mean,toi_std,duration_s_median,n_bins_median,description
29629_2024-Oct-29_15-05-13,29629_Karri,object_context,ok,377,50,50,0.0013117345006827673,0.0013180885456531377,0.00013264616610845942,2074.965366666667,208.0,"OF, OBJ"
29629_2024-Oct-30_05-40-15,29629_Karri,sleep,ok,1009,50,50,0.0011932301607542495,0.001186143466836593,7.707034752332107e-05,11443.983210599767,1145.0,sleep
29629_2024-Oct-30_15-13-05,29629_Karri,object_context,ok,396,50,50,0.002004269165127106,0.002001802811188556,0.00016073172699855644,1987.9815858317131,199.0,"OF, OBJ"
29630_2024-Sep-17_07-08-26,29630_Juniper,sleep,ok,2727,50,50,0.0009631591992552843,0.0009669769074566315,8.845194389310594e-05,5498.994488695089,550.0,sleep
29630_2024-Sep-17_09-22-08,29630_Juniper,object_context,ok,2116,50,50,0.00130725721997173,0.0013254596300726995,0.00011946638283767085,2037.994840265105,204.0,"OF, OBJ"
29630_2024-Sep-17_23-09-30,29630_Juniper,sleep,ok,2776,50,50,0.0014556922134032271,0.0014568374944050376,0.000123779268015815,7310.507047173942,732.0,sleep
29630_2024-Sep-18_10-18-21,29630_Juniper,object_context,ok,1908,50,50,0.0014037403788968459,0.0014048037192846278,0.00012207096402835587,2033.9846670136744,204.0,"OF, OBJ"
29630_2024-Sep-18_15-19-16,29630_Juniper,object_context,ok,2245,50,50,0.0012068534116934874,0.00122275184574588,0.00011150856066937496,1872.9863278045136,188.0,"OF, OBJ"
29630_2024-Sep-19_05-09-20,29630_Juniper,sleep,ok,2195,50,50,0.0011011746292404145,0.0011080326565428157,9.832577408761929e-05,10050.987930644733,1006.0,sleep
29630_2024-Sep-20_09-49-05,29630_Juniper,object_context,ok,1749,50,50,0.0017300178342534774,0.0017301107793005572,0.00012837055711604456,1890.9873829971762,190.0,"OF, OBJ"
