,legacy_touchscreen,nwb_ca1,openfield_ca1,touchandsee
legacy_touchscreen,0.0,7.543861877681292,6.632357678561308,5.710144043718893
nwb_ca1,7.543861877681292,0.0,7.4097344655464426,5.466132373108908
openfield_ca1,6.632357678561308,7.4097344655464426,0.0,7.32894717021629
touchandsee,5.710144043718893,5.466132373108908,7.32894717021629,0.0
