dataset_short_name,best_unit_count,best_spike_count,best_behavior_count,n_lfp_channels,n_electrodes,n_trials,n_event_times_total,n_position_samples,recording_duration_s,spikes_per_unit,units_per_minute,spikes_per_minute,trials_per_minute,events_per_trial,lfp_channels_per_unit,electrodes_per_unit,cross_dataset_reuse_score,data_analysis_potential_score
legacy_touchscreen,3.912023005428146,13.964990346141635,10.48200920725477,4.859812404361672,0.0,4.927253685157205,10.48200920725477,0.0,0.0,9.98827967392692,0.0,0.0,0.0,5.523137832732571,1.2843294344632026,0.0,0.9090909090909092,1.0
nwb_ca1,7.213768308118642,0.0,0.0,0.0,6.645090969505644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4863858340256269,0.9090909090909092,0.6666666666666666
openfield_ca1,2.1972245773362196,12.610633128151042,11.305908867770153,1.6094379124341003,0.0,0.0,0.0,11.305908867770153,7.496097345175956,10.210029818746168,0.23638877806423034,9.013151019656007,0.0,0.0,0.4054651081081644,0.0,0.8181818181818182,1.0
touchandsee,7.404190203099361,0.0,5.746203190540153,5.056245805348308,0.0,3.970291913552122,5.746203190540153,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,0.07533013744374484,0.0,0.4545454545454545,0.5
